,in_id,query,answers_text,answers_count
63,10119.0,"Что для вас ""культура доверия"" в организации?",открытый разговор,1.0
64,10119.0,"Что для вас ""культура доверия"" в организации?",незамалчивание проблем,1.0
65,10119.0,"Что для вас ""культура доверия"" в организации?",нет обсуждений  «за спиной»,1.0
66,10119.0,"Что для вас ""культура доверия"" в организации?",всегда поддержат,1.0
67,10119.0,"Что для вас ""культура доверия"" в организации?",нет страха наказания,1.0
68,10119.0,"Что для вас ""культура доверия"" в организации?",ошибки это нормально,1.0
69,10119.0,"Что для вас ""культура доверия"" в организации?",право на ошибку,1.0
70,10119.0,"Что для вас ""культура доверия"" в организации?",без двойных стандартов,1.0
71,10119.0,"Что для вас ""культура доверия"" в организации?",без любимчиков,1.0
72,10119.0,"Что для вас ""культура доверия"" в организации?",открытость друг к другу,1.0
73,10119.0,"Что для вас ""культура доверия"" в организации?",открытость руководителя,1.0
74,10119.0,"Что для вас ""культура доверия"" в организации?",дилемма кому и когда доверять,1.0
75,10119.0,"Что для вас ""культура доверия"" в организации?",безопасная среда,1.0
76,10119.0,"Что для вас ""культура доверия"" в организации?",профессионализм,1.0
77,10119.0,"Что для вас ""культура доверия"" в организации?",свобода выбора методов,1.0
78,10119.0,"Что для вас ""культура доверия"" в организации?",открытое обсуждение точек рост,1.0
79,10119.0,"Что для вас ""культура доверия"" в организации?",когда не осуждают,1.0
80,10119.0,"Что для вас ""культура доверия"" в организации?",когда можешь говорить открыто,1.0
81,10119.0,"Что для вас ""культура доверия"" в организации?",твое мнение не равно увольнени,1.0
82,10119.0,"Что для вас ""культура доверия"" в организации?",важные элементы доверия - это,1.0
83,10119.0,"Что для вас ""культура доверия"" в организации?",это честность и уважение,1.0
84,10119.0,"Что для вас ""культура доверия"" в организации?",-,1.0
85,10119.0,"Что для вас ""культура доверия"" в организации?",один за всех и все за одного,1.0
86,10119.0,"Что для вас ""культура доверия"" в организации?",безопасное пространство,1.0
87,10119.0,"Что для вас ""культура доверия"" в организации?",открытые взаимоотношения,1.0
88,10119.0,"Что для вас ""культура доверия"" в организации?",поддержка коллег,1.0
89,10119.0,"Что для вас ""культура доверия"" в организации?",уверенность,1.0
90,10119.0,"Что для вас ""культура доверия"" в организации?",наличие компетентных сотрудник,1.0
91,10119.0,"Что для вас ""культура доверия"" в организации?",выполняет обещанное в срок,1.0
92,10119.0,"Что для вас ""культура доверия"" в организации?",верить друг другу,1.0
93,10119.0,"Что для вас ""культура доверия"" в организации?",правила конфиденциальност,1.0
94,10119.0,"Что для вас ""культура доверия"" в организации?",возможность признавать ошибки,1.0
95,10119.0,"Что для вас ""культура доверия"" в организации?",взаимоуважение,1.0
96,10119.0,"Что для вас ""культура доверия"" в организации?",доверие команде,1.0
97,10119.0,"Что для вас ""культура доверия"" в организации?",взаимопомощь и взаимодействие,1.0
98,10119.0,"Что для вас ""культура доверия"" в организации?",комфортная работа,1.0
99,10119.0,"Что для вас ""культура доверия"" в организации?",смело выражать мнение,1.0
100,10119.0,"Что для вас ""культура доверия"" в организации?",не быть осужденным,1.0
101,10119.0,"Что для вас ""культура доверия"" в организации?",ответственность,1.0
102,10119.0,"Что для вас ""культура доверия"" в организации?",доверительные отношения,1.0
103,10119.0,"Что для вас ""культура доверия"" в организации?",могу честно сказать свой минус,1.0
104,10119.0,"Что для вас ""культура доверия"" в организации?",доверить задачу без контроля,1.0
105,10119.0,"Что для вас ""культура доверия"" в организации?","сказать, что думаю",1.0
106,10119.0,"Что для вас ""культура доверия"" в организации?",когда не боятся ошибиться,1.0
107,10119.0,"Что для вас ""культура доверия"" в организации?",уметь хранить секреты,1.0
108,10119.0,"Что для вас ""культура доверия"" в организации?",быть честным,1.0
109,10119.0,"Что для вас ""культура доверия"" в организации?",доверие коллегам,1.0
110,10119.0,"Что для вас ""культура доверия"" в организации?","меня поругают, но не накажут",1.0
111,10119.0,"Что для вас ""культура доверия"" в организации?",не страшно сказать об ошибке,1.0
112,10119.0,"Что для вас ""культура доверия"" в организации?",отсутствие наказаний за ошибки,1.0
113,10119.0,"Что для вас ""культура доверия"" в организации?",честность друг с другом,1.0
114,10119.0,"Что для вас ""культура доверия"" в организации?",возможность говорить открыто,1.0
115,10119.0,"Что для вас ""культура доверия"" в организации?",совместный диалог,1.0
116,10119.0,"Что для вас ""культура доверия"" в организации?",правда,1.0
117,10119.0,"Что для вас ""культура доверия"" в организации?",возможность открыто обсуждать,1.0
118,10119.0,"Что для вас ""культура доверия"" в организации?",открытость коммуникации,1.0
119,10119.0,"Что для вас ""культура доверия"" в организации?",общение,1.0
120,10119.0,"Что для вас ""культура доверия"" в организации?",не прятать ошибки,1.0
121,10119.0,"Что для вас ""культура доверия"" в организации?",поощрение культуры ownershipa,1.0
122,10119.0,"Что для вас ""культура доверия"" в организации?",доверие между сотрудниками,1.0
123,10119.0,"Что для вас ""культура доверия"" в организации?",доброжелательность,1.0
124,10119.0,"Что для вас ""культура доверия"" в организации?",когда не конт-ют на каждом шаг,1.0
125,10119.0,"Что для вас ""культура доверия"" в организации?",безопасность быть собой,1.0
126,10119.0,"Что для вас ""культура доверия"" в организации?",толерантность к разному,1.0
127,10119.0,"Что для вас ""культура доверия"" в организации?",поддержка,1.0
128,10119.0,"Что для вас ""культура доверия"" в организации?",обоюдная открытость,1.0
129,10119.0,"Что для вас ""культура доверия"" в организации?",возможность высказывать идеи,1.0
130,10119.0,"Что для вас ""культура доверия"" в организации?",открытый диалог,1.0
131,10119.0,"Что для вас ""культура доверия"" в организации?",выдача корректной информации,1.0
132,10119.0,"Что для вас ""культура доверия"" в организации?",когда между руководителем и со,1.0
133,10119.0,"Что для вас ""культура доверия"" в организации?",устойчивые нормы и правила,1.0
134,10119.0,"Что для вас ""культура доверия"" в организации?",взаимопомощь и поддержка,1.0
135,10119.0,"Что для вас ""культура доверия"" в организации?",достойный имидж организации,1.0
136,10119.0,"Что для вас ""культура доверия"" в организации?",открытость и доступность инф-и,1.0
137,10119.0,"Что для вас ""культура доверия"" в организации?",честность,1.0
138,10119.0,"Что для вас ""культура доверия"" в организации?",поддержка,1.0
139,10119.0,"Что для вас ""культура доверия"" в организации?",желание делиться информацией,1.0
140,10119.0,"Что для вас ""культура доверия"" в организации?",не хватает количества знаков,1.0
141,10119.0,"Что для вас ""культура доверия"" в организации?",продуктивная работа,1.0
142,10119.0,"Что для вас ""культура доверия"" в организации?","говорим прямо, без утаиваний",1.0
143,10119.0,"Что для вас ""культура доверия"" в организации?",уверенность в окружающих людях,1.0
144,10119.0,"Что для вас ""культура доверия"" в организации?",помощь без выгоды,1.0
145,10119.0,"Что для вас ""культура доверия"" в организации?",свободно выражать мнение,1.0
146,10119.0,"Что для вас ""культура доверия"" в организации?",открытость,1.0
147,10119.0,"Что для вас ""культура доверия"" в организации?",безопасность высказываний,1.0
148,10119.0,"Что для вас ""культура доверия"" в организации?",низкая бюрократия,1.0
149,10119.0,"Что для вас ""культура доверия"" в организации?",ффф,1.0
0,1036.0,Что хорошего сделал за день?,поела,1.0
1,1036.0,Что хорошего сделал за день?,решил вопрос,1.0
2,1036.0,Что хорошего сделал за день?,2,1.0
3,1036.0,Что хорошего сделал за день?,потестил,1.0
4,1036.0,Что хорошего сделал за день?,поучаствовал в ретро,1.0
5,1036.0,Что хорошего сделал за день?,поработал,1.0
6,1036.0,Что хорошего сделал за день?,проснулся :),1.0
7,1036.0,Что хорошего сделал за день?,участвовал в совещаниях,1.0
8,1036.0,Что хорошего сделал за день?,поела,1.0
9,1036.0,Что хорошего сделал за день?,создала себе новогоднее настроение,1.0
10,1036.0,Что хорошего сделал за день?,🙈,1.0
11,1036.0,Что хорошего сделал за день?,testing answer,1.0
12,1036.0,Что хорошего сделал за день?,покушал,1.0
13,1036.0,Что хорошего сделал за день?,порадовал своим присутствием >.<,1.0
14,1036.0,Что хорошего сделал за день?,помыл руки,1.0
15,1036.0,Что хорошего сделал за день?,поработал,1.0
16,1036.0,Что хорошего сделал за день?,успешный успех,1.0
17,1036.0,Что хорошего сделал за день?,покушал,1.0
18,1036.0,Что хорошего сделал за день?,приехал в офис,1.0
19,1036.0,Что хорошего сделал за день?,посмеялась,1.0
20,1036.0,Что хорошего сделал за день?,привет,1.0
21,1036.0,Что хорошего сделал за день?,<blink>hello there</blink>,1.0
22,1036.0,Что хорошего сделал за день?,закрыла все задачи),1.0
23,1036.0,Что хорошего сделал за день?,";!""№; 35",1.0
24,1036.0,Что хорошего сделал за день?,123www,1.0
25,1036.0,Что хорошего сделал за день?,<i><b>много всего</i></b>,1.0
26,1036.0,Что хорошего сделал за день?,сделала презентацию,1.0
27,1036.0,Что хорошего сделал за день?,достиг целей,1.0
28,1036.0,Что хорошего сделал за день?,макет,1.0
29,1036.0,Что хорошего сделал за день?,поел,1.0
30,1036.0,Что хорошего сделал за день?,потестил,1.0
31,1036.0,Что хорошего сделал за день?,провел 10 встреч,1.0
32,1036.0,Что хорошего сделал за день?,работаю вот,1.0
33,1036.0,Что хорошего сделал за день?,123www,1.0
34,1036.0,Что хорошего сделал за день?,.net code,1.0
35,1036.0,Что хорошего сделал за день?,нашел багу,1.0
36,1036.0,Что хорошего сделал за день?,погладил котика ^^,1.0
37,1036.0,Что хорошего сделал за день?,выполнил план,1.0
38,1036.0,Что хорошего сделал за день?,переговоры,1.0
39,1036.0,Что хорошего сделал за день?,не умер,1.0
40,1036.0,Что хорошего сделал за день?,поработал,1.0
41,1036.0,Что хорошего сделал за день?,поработал,1.0
42,1036.0,Что хорошего сделал за день?,příliš žluťoučký kůň úpěl ďábelské ódy,1.0
43,1036.0,Что хорошего сделал за день?,поработал,1.0
0,11016.0,Опишите одним-двумя словами что было самым ценным для вас за этот день?,общение,1.0
1,11016.0,Опишите одним-двумя словами что было самым ценным для вас за этот день?,опыт,1.0
2,11016.0,Опишите одним-двумя словами что было самым ценным для вас за этот день?,полезно использовать в будущем,1.0
3,11016.0,Опишите одним-двумя словами что было самым ценным для вас за этот день?,понятие клиентооринтрованости,1.0
4,11016.0,Опишите одним-двумя словами что было самым ценным для вас за этот день?,осознание клиентоцентричности,1.0
5,11016.0,Опишите одним-двумя словами что было самым ценным для вас за этот день?,общение с коллегам,1.0
6,11016.0,Опишите одним-двумя словами что было самым ценным для вас за этот день?,опыт,1.0
7,11016.0,Опишите одним-двумя словами что было самым ценным для вас за этот день?,общение с партнерами,1.0
8,11016.0,Опишите одним-двумя словами что было самым ценным для вас за этот день?,"информ. выступающих, раб. в ко",1.0
9,11016.0,Опишите одним-двумя словами что было самым ценным для вас за этот день?,мозговой штурм,1.0
10,11016.0,Опишите одним-двумя словами что было самым ценным для вас за этот день?,общение с коллегами,1.0
11,11016.0,Опишите одним-двумя словами что было самым ценным для вас за этот день?,новое видение старого,1.0
12,11016.0,Опишите одним-двумя словами что было самым ценным для вас за этот день?,общение с коллегами,1.0
13,11016.0,Опишите одним-двумя словами что было самым ценным для вас за этот день?,новые знания,1.0
14,11016.0,Опишите одним-двумя словами что было самым ценным для вас за этот день?,новые знакомства,1.0
15,11016.0,Опишите одним-двумя словами что было самым ценным для вас за этот день?,питание!,1.0
16,11016.0,Опишите одним-двумя словами что было самым ценным для вас за этот день?,информация,1.0
17,11016.0,Опишите одним-двумя словами что было самым ценным для вас за этот день?,общение с коллегами,1.0
18,11016.0,Опишите одним-двумя словами что было самым ценным для вас за этот день?,получение обратной связи,1.0
19,11016.0,Опишите одним-двумя словами что было самым ценным для вас за этот день?,"обмен опытом, знаниями",1.0
20,11016.0,Опишите одним-двумя словами что было самым ценным для вас за этот день?,"новые знания, обмен опытом",1.0
21,11016.0,Опишите одним-двумя словами что было самым ценным для вас за этот день?,общение с сотрудниками других,1.0
22,11016.0,Опишите одним-двумя словами что было самым ценным для вас за этот день?,конструктивный диалог,1.0
23,11016.0,Опишите одним-двумя словами что было самым ценным для вас за этот день?,знания по клиентоцентричности,1.0
24,11016.0,Опишите одним-двумя словами что было самым ценным для вас за этот день?,понятие клиентоориетированност,1.0
25,11016.0,Опишите одним-двумя словами что было самым ценным для вас за этот день?,работа в группах,1.0
26,11016.0,Опишите одним-двумя словами что было самым ценным для вас за этот день?,1.коммуникация между сотру,1.0
27,11016.0,Опишите одним-двумя словами что было самым ценным для вас за этот день?,2мозговой штурм по решению про,1.0
28,11016.0,Опишите одним-двумя словами что было самым ценным для вас за этот день?,идея может быть реализована,1.0
29,11016.0,Опишите одним-двумя словами что было самым ценным для вас за этот день?,работа в группах,1.0
30,11016.0,Опишите одним-двумя словами что было самым ценным для вас за этот день?,опыт взаимодействия внутри аэм,1.0
31,11016.0,Опишите одним-двумя словами что было самым ценным для вас за этот день?,обмен информацией,1.0
32,11016.0,Опишите одним-двумя словами что было самым ценным для вас за этот день?,понимание клиентоцентричностт.,1.0
33,11016.0,Опишите одним-двумя словами что было самым ценным для вас за этот день?,новый опыт,1.0
34,11016.0,Опишите одним-двумя словами что было самым ценным для вас за этот день?,мнения участников,1.0
35,11016.0,Опишите одним-двумя словами что было самым ценным для вас за этот день?,общение с коллегами из оку,1.0
36,11016.0,Опишите одним-двумя словами что было самым ценным для вас за этот день?,командная рабгта,1.0
37,11016.0,Опишите одним-двумя словами что было самым ценным для вас за этот день?,понимание общедивизиональных п,1.0
38,11016.0,Опишите одним-двумя словами что было самым ценным для вас за этот день?,проектная деятельность,1.0
39,11016.0,Опишите одним-двумя словами что было самым ценным для вас за этот день?,понимание разницы клиентоориен,1.0
40,11016.0,Опишите одним-двумя словами что было самым ценным для вас за этот день?,понимание клиентоцентричности,1.0
41,11016.0,Опишите одним-двумя словами что было самым ценным для вас за этот день?,понимание клиентоцентничность,1.0
42,11016.0,Опишите одним-двумя словами что было самым ценным для вас за этот день?,к персоналу это понятие тоже о,1.0
43,11016.0,Опишите одним-двумя словами что было самым ценным для вас за этот день?,относиться,1.0
44,11016.0,Опишите одним-двумя словами что было самым ценным для вас за этот день?,новый опыт,1.0
45,11016.0,Опишите одним-двумя словами что было самым ценным для вас за этот день?,встреча с коллегами и партнера,1.0
46,11016.0,Опишите одним-двумя словами что было самым ценным для вас за этот день?,перестройка мышления под кл-ть,1.0
47,11016.0,Опишите одним-двумя словами что было самым ценным для вас за этот день?,проблематика разных оку совпад,1.0
48,11016.0,Опишите одним-двумя словами что было самым ценным для вас за этот день?,клиентоцентричность,1.0
49,11016.0,Опишите одним-двумя словами что было самым ценным для вас за этот день?,мнения и обратная связь,1.0
50,11016.0,Опишите одним-двумя словами что было самым ценным для вас за этот день?,выявление общих проблематик,1.0
51,11016.0,Опишите одним-двумя словами что было самым ценным для вас за этот день?,решения,1.0
52,11016.0,Опишите одним-двумя словами что было самым ценным для вас за этот день?,порешать нужные задачи,1.0
53,11016.0,Опишите одним-двумя словами что было самым ценным для вас за этот день?,поработать в новой команде,1.0
54,11016.0,Опишите одним-двумя словами что было самым ценным для вас за этот день?,понял клиентоцентричность,1.0
55,11016.0,Опишите одним-двумя словами что было самым ценным для вас за этот день?,итоговые решения,1.0
56,11016.0,Опишите одним-двумя словами что было самым ценным для вас за этот день?,обмен опытом,1.0
57,11016.0,Опишите одним-двумя словами что было самым ценным для вас за этот день?,мозговой штурм,1.0
58,11016.0,Опишите одним-двумя словами что было самым ценным для вас за этот день?,проработка проблем,1.0
59,11016.0,Опишите одним-двумя словами что было самым ценным для вас за этот день?,результаты сессии руководителе,1.0
60,11016.0,Опишите одним-двумя словами что было самым ценным для вас за этот день?,понимание задачи,1.0
61,11016.0,Опишите одним-двумя словами что было самым ценным для вас за этот день?,"общение с коллегами,новая инфа",1.0
62,11016.0,Опишите одним-двумя словами что было самым ценным для вас за этот день?,взгляд со стороны клиента,1.0
63,11016.0,Опишите одним-двумя словами что было самым ценным для вас за этот день?,взаимодействие с коллегами,1.0
64,11016.0,Опишите одним-двумя словами что было самым ценным для вас за этот день?,выявление идей для развития,1.0
65,11016.0,Опишите одним-двумя словами что было самым ценным для вас за этот день?,новая информация,1.0
66,11016.0,Опишите одним-двумя словами что было самым ценным для вас за этот день?,плодотворная работа в команде,1.0
67,11016.0,Опишите одним-двумя словами что было самым ценным для вас за этот день?,узнать больше информации,1.0
68,11016.0,Опишите одним-двумя словами что было самым ценным для вас за этот день?,узнать о клиентоцентричности,1.0
69,11016.0,Опишите одним-двумя словами что было самым ценным для вас за этот день?,работа в команде,1.0
70,11016.0,Опишите одним-двумя словами что было самым ценным для вас за этот день?,определение клиентоцентричност,1.0
71,11016.0,Опишите одним-двумя словами что было самым ценным для вас за этот день?,встать на место клиента,1.0
72,11016.0,Опишите одним-двумя словами что было самым ценным для вас за этот день?,раскрыли иначе цель,1.0
73,11016.0,Опишите одним-двумя словами что было самым ценным для вас за этот день?,видение 2030,1.0
74,11016.0,Опишите одним-двумя словами что было самым ценным для вас за этот день?,общение с коллегами,1.0
75,11016.0,Опишите одним-двумя словами что было самым ценным для вас за этот день?,новый опыт,1.0
76,11016.0,Опишите одним-двумя словами что было самым ценным для вас за этот день?,тема раскрыта,1.0
77,11016.0,Опишите одним-двумя словами что было самым ценным для вас за этот день?,коммуникация,1.0
78,11016.0,Опишите одним-двумя словами что было самым ценным для вас за этот день?,"общение, обмен опытом.",1.0
79,11016.0,Опишите одним-двумя словами что было самым ценным для вас за этот день?,"выступления докладчиков, опыт",1.0
80,11016.0,Опишите одним-двумя словами что было самым ценным для вас за этот день?,командная работа,1.0
81,11016.0,Опишите одним-двумя словами что было самым ценным для вас за этот день?,работа в команде,1.0
82,11016.0,Опишите одним-двумя словами что было самым ценным для вас за этот день?,новые контакты и варианты реше,1.0
83,11016.0,Опишите одним-двумя словами что было самым ценным для вас за этот день?,новые связи,1.0
84,11016.0,Опишите одним-двумя словами что было самым ценным для вас за этот день?,опыт коллег,1.0
85,11016.0,Опишите одним-двумя словами что было самым ценным для вас за этот день?,общение,1.0
86,11016.0,Опишите одним-двумя словами что было самым ценным для вас за этот день?,работа в команде,1.0
87,11016.0,Опишите одним-двумя словами что было самым ценным для вас за этот день?,генерация идей,1.0
88,11016.0,Опишите одним-двумя словами что было самым ценным для вас за этот день?,интересный опыт,1.0
89,11016.0,Опишите одним-двумя словами что было самым ценным для вас за этот день?,опыт общения с другими,1.0
90,11016.0,Опишите одним-двумя словами что было самым ценным для вас за этот день?,новые интересные идеи,1.0
91,11016.0,Опишите одним-двумя словами что было самым ценным для вас за этот день?,работа в команде,1.0
