,index,in_id,query,answers_text,answers_count,answers_cluster,answers_sentiment,langdetect,langid
27,33,20139.0,Какие цели вы поставили себе на Школу тренеров?,применять знания на своём пр-е,1.0,применять знания на своём проекте,neutrals,ru,ru
28,34,20139.0,Какие цели вы поставили себе на Школу тренеров?,примеры реализованных проектов,1.0,примеры реализованных проектов,neutrals,ru,ru
29,35,20139.0,Какие цели вы поставили себе на Школу тренеров?,проверить свои знания,1.0,проверить свои знания,neutrals,ru,ru
30,36,20139.0,Какие цели вы поставили себе на Школу тренеров?,проектная деятельность,1.0,проектная деятельность,neutrals,ru,ru
31,38,20139.0,Какие цели вы поставили себе на Школу тренеров?,стать тренером фцк,1.0,стать тренером фцк,neutrals,ru,ru
32,39,20139.0,Какие цели вы поставили себе на Школу тренеров?,рассказать стране о шт,1.0,рассказать стране о шт,neutrals,ru,ru
33,40,20139.0,Какие цели вы поставили себе на Школу тренеров?,расширение творческих границ,1.0,расширение творческих границ,positives,ru,ru
34,42,20139.0,Какие цели вы поставили себе на Школу тренеров?,стать продуктивнее в работе,1.0,стать продуктивнее в работе,positives,ru,ru
35,43,20139.0,Какие цели вы поставили себе на Школу тренеров?,обучай. применяйте. соверш.,1.0,применяй обучай совершенствуй,neutrals,ru,ru
36,44,20139.0,Какие цели вы поставили себе на Школу тренеров?,применяй обучай совершенствуй,1.0,применяй обучай совершенствуй,neutrals,ru,ru
37,46,20397.0,What countries are major investors abroad?,netherlands,7.0,netherlands,neutrals,en,en
38,55,20398.0,What countries are major recipients of FDI?,south america,1.0,south america,neutrals,en,en
39,57,20398.0,What countries are major recipients of FDI?,thailand,1.0,thailand,neutrals,en,en
40,72,20400.0,Name 4-5 emerging markets,south america,1.0,south america,neutrals,en,en
41,77,20785.0,Какие эмоции вы испытали от участия в Чемпионате? (введите не более 3-х слов),удовольствие,2.0,удовольствие,positives,ru,ru
42,78,20785.0,Какие эмоции вы испытали от участия в Чемпионате? (введите не более 3-х слов),эйфория,1.0,удовольствие,positives,ru,ru
43,79,20785.0,Какие эмоции вы испытали от участия в Чемпионате? (введите не более 3-х слов),это было круто!,1.0,это было круто,positives,ru,ru
44,86,20785.0,Какие эмоции вы испытали от участия в Чемпионате? (введите не более 3-х слов),усталость,4.0,усталость,negatives,ru,ru
45,87,20785.0,Какие эмоции вы испытали от участия в Чемпионате? (введите не более 3-х слов),чувство единения команды,1.0,чувство единения команды,positives,ru,ru
46,92,20799.0,Name 3 most important skills that you expect you will need in your future job.,leadership,1.0,leadership,positives,en,en
47,97,20799.0,Name 3 most important skills that you expect you will need in your future job.,responsibility,2.0,responsibility,neutrals,en,en
48,100,20799.0,Name 3 most important skills that you expect you will need in your future job.,stress resistance,1.0,stress resistance,positives,en,en
49,102,21571.0,С чем у Вас ассоциируется прошедшая сессия?,хорошей возможностью подумать,1.0,хорошей возможностью подумать,positives,ru,ru
50,104,21571.0,С чем у Вас ассоциируется прошедшая сессия?,цель,1.0,цели,neutrals,ru,ru
51,107,21571.0,С чем у Вас ассоциируется прошедшая сессия?,удобство,1.0,удобство,positives,ru,ru
52,108,21584.0,"Кто для Вас лидер по культуре безопасности? Что отличает лидера, что конкретно он делает, напишите 1-2 глагола / Who is the leader in safety culture for you? What distinguishes a leader, what exactly does he do, write 1-2 verbs.",руководитель отдела,1.0,руководитель отдела,neutrals,ru,ru
53,109,21584.0,"Кто для Вас лидер по культуре безопасности? Что отличает лидера, что конкретно он делает, напишите 1-2 глагола / Who is the leader in safety culture for you? What distinguishes a leader, what exactly does he do, write 1-2 verbs.",создаёт творческую атмосферу,1.0,создаёт творческую атмосферу,neutrals,ru,ru
54,110,21584.0,"Кто для Вас лидер по культуре безопасности? Что отличает лидера, что конкретно он делает, напишите 1-2 глагола / Who is the leader in safety culture for you? What distinguishes a leader, what exactly does he do, write 1-2 verbs.",стремится сам,1.0,стремится сам,neutrals,ru,ru
55,111,21584.0,"Кто для Вас лидер по культуре безопасности? Что отличает лидера, что конкретно он делает, напишите 1-2 глагола / Who is the leader in safety culture for you? What distinguishes a leader, what exactly does he do, write 1-2 verbs.",человек делающий правильно пра,1.0,человек делающий правильно пра,positives,ru,ru
56,112,21586.0,"1. Топ 3 дефицита компетенций по безопасности у молодых сотрудников, которые приходят в отрасль? / Top 3 safety competencies gaps among young employees entering the industry?",понимание своего влияния,1.0,понимание своего влияния,neutrals,ru,ru
57,113,21586.0,"1. Топ 3 дефицита компетенций по безопасности у молодых сотрудников, которые приходят в отрасль? / Top 3 safety competencies gaps among young employees entering the industry?",практические навыки,1.0,практические навыки,neutrals,ru,ru
58,115,21586.0,"1. Топ 3 дефицита компетенций по безопасности у молодых сотрудников, которые приходят в отрасль? / Top 3 safety competencies gaps among young employees entering the industry?",чф,1.0,чф,neutrals,ru,ru
59,117,21718.0,Ключевые ассоциации с либерально-идеалистической парадигмой,свобода идея люди рынок мир,1.0,свобода идея люди рынок мир,positives,ru,ru
60,120,21718.0,Ключевые ассоциации с либерально-идеалистической парадигмой,сотрудничество,2.0,сотрудничество,positives,ru,ru
61,121,21718.0,Ключевые ассоциации с либерально-идеалистической парадигмой,универсальные ценности,1.0,универсальные ценности,neutrals,ru,ru
62,122,21718.0,Ключевые ассоциации с либерально-идеалистической парадигмой,частная собственность,2.0,частная собственность,neutrals,ru,ru
63,123,21756.0,Опишите одним словом ваше текущее состояние,сложно,1.0,сложно,negatives,ru,ru
64,124,21756.0,Опишите одним словом ваше текущее состояние,тяжело,1.0,сложно,negatives,ru,ru
65,126,21756.0,Опишите одним словом ваше текущее состояние,собранность,2.0,сосредоточенность,positives,ru,ru
66,127,21756.0,Опишите одним словом ваше текущее состояние,сосредоточенность,2.0,сосредоточенность,positives,ru,ru
67,128,21756.0,Опишите одним словом ваше текущее состояние,сожаление,1.0,сожаление,neutrals,ru,ru
68,129,21756.0,Опишите одним словом ваше текущее состояние,стабильно,3.0,стабильное,neutrals,ru,ru
69,130,21756.0,Опишите одним словом ваше текущее состояние,стабильное,15.0,стабильное,positives,ru,ru
70,131,21756.0,Опишите одним словом ваше текущее состояние,стабильность,3.0,стабильное,positives,ru,ru
71,133,21756.0,Опишите одним словом ваше текущее состояние,стараюсь отвлечься,1.0,стараюсь отвлечься,neutrals,ru,ru
72,134,21756.0,Опишите одним словом ваше текущее состояние,стресс,18.0,стресс,negatives,ru,ru
73,135,21756.0,Опишите одним словом ваше текущее состояние,твик из южного парка,1.0,твик из южного парка,neutrals,ru,ru
74,136,21756.0,Опишите одним словом ваше текущее состояние,текущее положение в стране,1.0,текущее положение в стране,neutrals,ru,ru
75,138,21756.0,Опишите одним словом ваше текущее состояние,ультрамыслительное,1.0,ультрамыслительное,neutrals,ru,ru
76,141,21756.0,Опишите одним словом ваше текущее состояние,хаос,1.0,хаос,negatives,ru,ru
77,142,21756.0,Опишите одним словом ваше текущее состояние,целеустремленность,1.0,целеустремлённость,positives,ru,ru
78,143,21756.0,Опишите одним словом ваше текущее состояние,целеустремлённость,1.0,целеустремлённость,positives,ru,ru
79,144,21756.0,Опишите одним словом ваше текущее состояние,цели понятны,1.0,цели понятны,positives,ru,ru
80,145,21756.0,Опишите одним словом ваше текущее состояние,частые перепады настроения,1.0,частые перепады настроения,negatives,ru,ru
81,146,21756.0,Опишите одним словом ваше текущее состояние,эмоциональная мясорубка,1.0,частые перепады настроения,negatives,ru,ru
82,152,21817.0,Ключевые ассоциации с парадигмой политического реализма (5 слов),президенты,1.0,президенты,neutrals,ru,ru
83,154,21817.0,Ключевые ассоциации с парадигмой политического реализма (5 слов),рациональность,1.0,рациональность,neutrals,ru,ru
84,158,21817.0,Ключевые ассоциации с парадигмой политического реализма (5 слов),сотрудничество,2.0,сотрудничество,positives,ru,ru
85,162,21819.0,"Какие направления работы, на ваш взгляд, обязательно должны быть в деятельности Совета молодежи?",технические туры на аэс,1.0,технические туры на аэс,neutrals,ru,ru
86,163,21819.0,"Какие направления работы, на ваш взгляд, обязательно должны быть в деятельности Совета молодежи?",технические туры на аэс и т.д.,1.0,технические туры на аэс,neutrals,ru,ru
87,165,21819.0,"Какие направления работы, на ваш взгляд, обязательно должны быть в деятельности Совета молодежи?",туристическое тех.туры,1.0,технические туры,neutrals,ru,ru
88,166,21819.0,"Какие направления работы, на ваш взгляд, обязательно должны быть в деятельности Совета молодежи?",участие в разрешении проблем,1.0,участие в разрешении проблем,neutrals,ru,ru
89,167,21819.0,"Какие направления работы, на ваш взгляд, обязательно должны быть в деятельности Совета молодежи?",цех,1.0,цех,neutrals,ru,ru
90,170,23023.0,Напишите ваши ожидания от курса в 2х словах?,новые возможности,1.0,новые возможности,positives,ru,ru
91,171,23023.0,Напишите ваши ожидания от курса в 2х словах?,новые смыслы образовательных с,1.0,новые смыслы образовательных с,neutrals,ru,ru
92,172,23023.0,Напишите ваши ожидания от курса в 2х словах?,профильный летний лагерь,1.0,профильный летний лагерь,neutrals,ru,ru
93,173,23023.0,Напишите ваши ожидания от курса в 2х словах?,содержательно,1.0,содержательно,positives,ru,ru
94,174,23097.0,"Напишите свою ассоциацию со словом ""бюрократ""",сразунеподписывающий,1.0,сразу не подписывающий,neutrals,ru,ru
95,175,23097.0,"Напишите свою ассоциацию со словом ""бюрократ""",срок,1.0,сроки,neutrals,ru,ru
96,181,23097.0,"Напишите свою ассоциацию со словом ""бюрократ""",стиль жизни,1.0,стиль жизни,neutrals,ru,ru
97,182,23097.0,"Напишите свою ассоциацию со словом ""бюрократ""",стол,1.0,стол,neutrals,ru,ru
98,183,23097.0,"Напишите свою ассоциацию со словом ""бюрократ""",столодержатель,3.0,столодержатель,neutrals,ru,ru
99,184,23097.0,"Напишите свою ассоциацию со словом ""бюрократ""",страх,3.0,страх,negatives,ru,ru
100,185,23097.0,"Напишите свою ассоциацию со словом ""бюрократ""",трус,3.0,трус,negatives,ru,ru
101,186,23097.0,"Напишите свою ассоциацию со словом ""бюрократ""",трусость,1.0,трус,negatives,ru,ru
102,190,23097.0,"Напишите свою ассоциацию со словом ""бюрократ""",существование,1.0,существование,neutrals,ru,ru
103,191,23097.0,"Напишите свою ассоциацию со словом ""бюрократ""",тщетный,1.0,тщетный,negatives,ru,ru
104,193,23097.0,"Напишите свою ассоциацию со словом ""бюрократ""",удовлетворение своих желаний,1.0,удовлетворение своих желаний,positives,ru,ru
105,194,23097.0,"Напишите свою ассоциацию со словом ""бюрократ""",типичный,1.0,типичный,neutrals,ru,ru
106,195,23097.0,"Напишите свою ассоциацию со словом ""бюрократ""",узколобость,1.0,узколобый,negatives,ru,ru
107,196,23097.0,"Напишите свою ассоциацию со словом ""бюрократ""",узколобый,1.0,узколобый,negatives,ru,ru
108,199,23097.0,"Напишите свою ассоциацию со словом ""бюрократ""",товарищ дынин (из фильма),1.0,товарищ дынин из фильма,neutrals,ru,ru
109,200,23097.0,"Напишите свою ассоциацию со словом ""бюрократ""",уклонист,1.0,уклонист,neutrals,ru,ru
110,201,23097.0,"Напишите свою ассоциацию со словом ""бюрократ""",толстолобый,1.0,толстолобый,negatives,ru,ru
111,204,23097.0,"Напишите свою ассоциацию со словом ""бюрократ""",усложнение,10.0,усложняющий,negatives,ru,ru
112,205,23097.0,"Напишите свою ассоциацию со словом ""бюрократ""",усложнение своей работы и друг,1.0,усложняющий,negatives,ru,ru
113,206,23097.0,"Напишите свою ассоциацию со словом ""бюрократ""",усложнитель,4.0,усложняющий,negatives,ru,ru
114,207,23097.0,"Напишите свою ассоциацию со словом ""бюрократ""",усложняющий,3.0,усложняющий,negatives,ru,ru
115,208,23097.0,"Напишите свою ассоциацию со словом ""бюрократ""",усложняющий простые процессы,1.0,усложняющий,negatives,ru,ru
116,209,23097.0,"Напишите свою ассоциацию со словом ""бюрократ""",человек усложняющий всем жизнь,1.0,усложняющий,negatives,ru,ru
117,210,23097.0,"Напишите свою ассоциацию со словом ""бюрократ""",трудозатратный,1.0,трудозатраты,neutrals,ru,ru
118,211,23097.0,"Напишите свою ассоциацию со словом ""бюрократ""",трудозатраты,1.0,трудозатраты,neutrals,ru,ru
119,212,23097.0,"Напишите свою ассоциацию со словом ""бюрократ""",усталость,1.0,усталость,negatives,ru,ru
120,213,23097.0,"Напишите свою ассоциацию со словом ""бюрократ""",утомительный,2.0,усталость,negatives,ru,ru
121,214,23097.0,"Напишите свою ассоциацию со словом ""бюрократ""",чрезмерные трудозатраты,1.0,трудозатраты,negatives,ru,ru
122,215,23097.0,"Напишите свою ассоциацию со словом ""бюрократ""",энергозатратность,1.0,трудозатраты,neutrals,ru,ru
123,218,23097.0,"Напишите свою ассоциацию со словом ""бюрократ""",ущерб,1.0,ущерб,negatives,ru,ru
124,219,23097.0,"Напишите свою ассоциацию со словом ""бюрократ""",ущерб дела,1.0,ущерб,negatives,ru,ru
125,220,23097.0,"Напишите свою ассоциацию со словом ""бюрократ""",фаервол,1.0,фаервол,neutrals,ru,ru
126,222,23097.0,"Напишите свою ассоциацию со словом ""бюрократ""",фильтр,1.0,фильтр,neutrals,ru,ru
127,226,23097.0,"Напишите свою ассоциацию со словом ""бюрократ""",ханжество,1.0,ханжество,negatives,ru,ru
128,228,23097.0,"Напишите свою ассоциацию со словом ""бюрократ""",человек,7.0,человек,neutrals,ru,ru
129,229,23097.0,"Напишите свою ассоциацию со словом ""бюрократ""",человек в футляре,1.0,человек в футляре,neutrals,ru,ru
130,230,23097.0,"Напишите свою ассоциацию со словом ""бюрократ""",человек с раздутым эго,1.0,человек с раздутым эго,negatives,ru,ru
131,231,23097.0,"Напишите свою ассоциацию со словом ""бюрократ""",эгоист,1.0,эгоист,negatives,ru,ru
132,232,23097.0,"Напишите свою ассоциацию со словом ""бюрократ""",червь,1.0,червь,neutrals,ru,ru
133,233,23097.0,"Напишите свою ассоциацию со словом ""бюрократ""",чин,1.0,чин,neutrals,ru,ru
134,235,23097.0,"Напишите свою ассоциацию со словом ""бюрократ""",чопорный,2.0,чопорный,negatives,ru,ru
135,236,23097.0,"Напишите свою ассоциацию со словом ""бюрократ""",швондер,4.0,швондер,negatives,ru,ru
136,238,23097.0,"Напишите свою ассоциацию со словом ""бюрократ""",энергосос,1.0,энергосос,negatives,ru,ru
137,239,23097.0,"Напишите свою ассоциацию со словом ""бюрократ""",энтропия,1.0,энтропия,neutrals,ru,ru
138,240,23097.0,"Напишите свою ассоциацию со словом ""бюрократ""",юридическая безопасность,1.0,юридическая безопасность,positives,ru,ru
139,241,23097.0,"Напишите свою ассоциацию со словом ""бюрократ""",юристы,1.0,юристы,neutrals,ru,ru
140,243,23097.0,"Напишите свою ассоциацию со словом ""бюрократ""",бурная деятельность,1.0,бурная деятельность,neutrals,ru,ru
141,247,23097.0,"Напишите свою ассоциацию со словом ""бюрократ""",москва,1.0,москва,neutrals,ru,ru
142,248,23097.0,"Напишите свою ассоциацию со словом ""бюрократ""",муниципалы,1.0,муниципалы,neutrals,ru,ru
143,249,23097.0,"Напишите свою ассоциацию со словом ""бюрократ""",осторожность,1.0,осторожность,neutrals,ru,ru
144,250,23097.0,"Напишите свою ассоциацию со словом ""бюрократ""",смысл,1.0,смысл,neutrals,ru,ru
145,251,23097.0,"Напишите свою ассоциацию со словом ""бюрократ""",тщательность,1.0,тщательность,positives,ru,ru
146,252,23239.0,Напишите 3 (три) ваши ассоциации с Китаем,украсть технологии задешево,1.0,украсть технологии задешево,negatives,ru,ru
147,253,23239.0,Напишите 3 (три) ваши ассоциации с Китаем,четко знают свою выгоду,1.0,четко знают свою выгоду,positives,ru,ru
148,255,23239.0,Напишите 3 (три) ваши ассоциации с Китаем,шаолинь,1.0,шаолинь,neutrals,ru,ru
149,256,23239.0,Напишите 3 (три) ваши ассоциации с Китаем,экономика,1.0,экономика,neutrals,ru,ru
150,257,23359.0,"Какая ассоциация у вас со словом ""грамотность""? (1-2 слова)",владеющий,1.0,владеющий,neutrals,ru,ru
151,260,23359.0,"Какая ассоциация у вас со словом ""грамотность""? (1-2 слова)",образование,1.0,образование,neutrals,ru,ru
152,261,23359.0,"Какая ассоциация у вас со словом ""грамотность""? (1-2 слова)",отсутствие ошибок,1.0,отсутствие ошибок,positives,ru,ru
153,262,23359.0,"Какая ассоциация у вас со словом ""грамотность""? (1-2 слова)",современность,1.0,современность,neutrals,ru,ru
154,264,23360.0,Откуда вы? (Город),могилев,2.0,могилев,neutrals,ru,ru
155,265,23360.0,Откуда вы? (Город),могилев беларусь,1.0,могилев,neutrals,ru,ru
156,266,23360.0,Откуда вы? (Город),москва,2.0,москва,neutrals,ru,ru
157,267,23360.0,Откуда вы? (Город),реутов,1.0,реутов,neutrals,ru,ru
158,270,23379.0,Как настроение?,бодрое морозное,1.0,бодрое морозное,positives,ru,ru
159,271,23379.0,Как настроение?,всё клубнично как обычно,1.0,прекрасно,positives,ru,ru
160,272,23379.0,Как настроение?,замечательно,1.0,прекрасно,positives,ru,ru
161,273,23379.0,Как настроение?,замечательное,1.0,прекрасно,positives,ru,ru
162,274,23379.0,Как настроение?,круто,1.0,прекрасно,positives,ru,ru
163,276,23379.0,Как настроение?,лучше всех!,1.0,прекрасно,positives,ru,ru
164,282,23379.0,Как настроение?,радостное,1.0,радостное,positives,ru,ru
165,283,23379.0,Как настроение?,супер,4.0,прекрасно,positives,ru,ru
166,284,23379.0,Как настроение?,до объявления пароля не очень,1.0,до объявления пароля не очень,neutrals,ru,ru
167,285,23379.0,Как настроение?,норм,2.0,нормально,neutrals,ru,ru
168,286,23379.0,Как настроение?,нормально,2.0,нормально,neutrals,ru,ru
169,287,23379.0,Как настроение?,хороше,1.0,хорошее,positives,ru,ru
170,288,23379.0,Как настроение?,хорошее,7.0,хорошее,positives,ru,ru
171,289,23379.0,Как настроение?,хорошо,2.0,хорошее,positives,ru,ru
172,290,23379.0,Как настроение?,хочется кушать и спать,1.0,хочется кушать и спать,neutrals,ru,ru
173,294,23421.0,Что планируете применять из пройденного обучения в ближайшее время?,все,3.0,все,neutrals,ru,ru
174,295,23421.0,Что планируете применять из пройденного обучения в ближайшее время?,командная работа,1.0,командная работа,neutrals,ru,ru
175,297,23421.0,Что планируете применять из пройденного обучения в ближайшее время?,полученные знания,1.0,полученные знания,neutrals,ru,ru
176,298,23421.0,Что планируете применять из пройденного обучения в ближайшее время?,пытаться применять знания,1.0,пытаться применять знания,neutrals,ru,ru
177,299,23422.0,Ваши открытия за время обучения на модуле,важно формировать осознание,1.0,важно формировать осознание,neutrals,ru,ru
178,300,23422.0,Ваши открытия за время обучения на модуле,есть,1.0,есть,neutrals,ru,ru
179,301,23422.0,Ваши открытия за время обучения на модуле,интерактивная бизнес-игра,1.0,интерактивная бизнес игра,neutrals,ru,ru
180,302,23422.0,Ваши открытия за время обучения на модуле,модель,1.0,модель,neutrals,ru,ru
181,303,23422.0,Ваши открытия за время обучения на модуле,модель адкар,1.0,модель адкар,neutrals,ru,ru
182,305,23422.0,Ваши открытия за время обучения на модуле,нужен план изменений,1.0,нужен план изменений,neutrals,ru,ru
183,306,23422.0,Ваши открытия за время обучения на модуле,очень интересная игра,1.0,очень интересная игра,positives,ru,ru
184,308,23423.0,Что поможет сделать программу более полезной для вас?,больше примеров из росатома,1.0,больше примеров из росатома,neutrals,ru,ru
185,309,23423.0,Что поможет сделать программу более полезной для вас?,включение теории,1.0,включение теории,neutrals,ru,ru
186,310,23423.0,Что поможет сделать программу более полезной для вас?,все,1.0,все,neutrals,ru,ru
187,311,23423.0,Что поможет сделать программу более полезной для вас?,очное участие,2.0,очный формат,neutrals,ru,ru
188,312,23423.0,Что поможет сделать программу более полезной для вас?,очный формат,2.0,очный формат,neutrals,ru,ru
189,314,23423.0,Что поможет сделать программу более полезной для вас?,устранение технических проблем,1.0,устранение технических проблем,positives,ru,ru
190,315,23432.0,Ваши открытия за время обучения на модуле,мало используем по для менеджм,1.0,мало используем по для менеджмента,negatives,ru,ru
191,317,23432.0,Ваши открытия за время обучения на модуле,много инструментов,1.0,много инструментов,neutrals,ru,ru
192,319,23432.0,Ваши открытия за время обучения на модуле,нужен стабильный интернет,1.0,нужен стабильный интернет,neutrals,ru,ru
193,322,23433.0,Что поможет сделать программу более полезной для вас?,возможность выбирать задания,1.0,возможность выбирать задания,neutrals,ru,ru
194,323,23433.0,Что поможет сделать программу более полезной для вас?,все хорошо,1.0,все хорошо,positives,ru,ru
195,324,23433.0,Что поможет сделать программу более полезной для вас?,детальное разъяснения,1.0,детальные разъяснения,positives,ru,ru
196,325,23433.0,Что поможет сделать программу более полезной для вас?,заранее изучить теорию,1.0,заранее изучить теорию,neutrals,ru,ru
197,326,23433.0,Что поможет сделать программу более полезной для вас?,кроме игры неплохо бы теорию,1.0,кроме игры неплохо бы теорию,neutrals,ru,ru
198,328,23433.0,Что поможет сделать программу более полезной для вас?,понимание что у нас есть,1.0,понимание что у нас есть,positives,ru,ru
199,329,23433.0,Что поможет сделать программу более полезной для вас?,проходить индивидуально,1.0,проходить индивидуально,neutrals,ru,ru
200,330,23463.0,Что планируете применять из пройденного обучения в ближайшее время?,в переговорах не спешить,1.0,в переговорах не спешить,neutrals,ru,ru
201,331,23463.0,Что планируете применять из пройденного обучения в ближайшее время?,всё,1.0,всё,neutrals,ru,ru
202,332,23463.0,Что планируете применять из пройденного обучения в ближайшее время?,гибкость,1.0,гибкость,positives,ru,ru
203,333,23463.0,Что планируете применять из пройденного обучения в ближайшее время?,гибкость в переговорах,1.0,гибкость,positives,ru,ru
204,335,23463.0,Что планируете применять из пройденного обучения в ближайшее время?,модель 3д в переговорах,1.0,модель 3д в переговорах,neutrals,ru,ru
205,336,23463.0,Что планируете применять из пройденного обучения в ближайшее время?,поправить собственную модель,1.0,поправить собственную модель,neutrals,ru,ru
206,337,23463.0,Что планируете применять из пройденного обучения в ближайшее время?,не готов не садись за стол,1.0,не готов не садись за стол,neutrals,ru,ru
207,339,23463.0,Что планируете применять из пройденного обучения в ближайшее время?,стратегию в переговорах,1.0,стратегию в переговорах,neutrals,ru,ru
208,340,23464.0,Ваши открытия за время обучения на модуле,все,1.0,все,neutrals,ru,ru
209,341,23464.0,Ваши открытия за время обучения на модуле,интересные результаты тестиров,1.0,интересные результаты тестирования,positives,ru,ru
210,342,23464.0,Ваши открытия за время обучения на модуле,много всего интересного,1.0,много всего интересного,positives,ru,ru
211,344,23464.0,Ваши открытия за время обучения на модуле,переговоры,1.0,переговоры,neutrals,ru,ru
212,345,23464.0,Ваши открытия за время обучения на модуле,структуризация переговоров,1.0,структуризация переговоров,neutrals,ru,ru
213,346,23464.0,Ваши открытия за время обучения на модуле,твёрдость не всегда правильно,1.0,твердость не всегда хороша,neutrals,ru,ru
214,347,23464.0,Ваши открытия за время обучения на модуле,твердость не всегда хороша,1.0,твердость не всегда хороша,neutrals,ru,ru
215,348,23465.0,Что поможет сделать программу более полезной для вас?,более углублённое изучение,1.0,более углублённое изучение,neutrals,ru,ru
216,349,23465.0,Что поможет сделать программу более полезной для вас?,больше дней с практикой,1.0,практика,neutrals,ru,ru
217,351,23465.0,Что поможет сделать программу более полезной для вас?,доп кейсы,1.0,дополнительное решение,neutrals,ru,ru
218,357,23484.0,Что планируете применять из пройденного обучения в ближайшее время?,использовать данные на совещан,1.0,использовать данные на совещаниях,neutrals,ru,ru
219,358,23484.0,Что планируете применять из пройденного обучения в ближайшее время?,по ключевым фррмулам,1.0,по ключевым формулам,neutrals,ru,ru
220,359,23484.0,Что планируете применять из пройденного обучения в ближайшее время?,повышение производительности,1.0,повышение производительности,positives,ru,ru
221,360,23484.0,Что планируете применять из пройденного обучения в ближайшее время?,приехать на работу,1.0,приехать на работу,neutrals,ru,ru
222,361,23484.0,Что планируете применять из пройденного обучения в ближайшее время?,сделать выписку по ключевым те,1.0,сделать выписку по ключевым те,neutrals,ru,ru
