,index,in_id,query,answers_text,answers_count,answers_cluster,answers_sentiment,langdetect,langid
28,53,20397.0,What countries are major investors abroad?,luxembourg,1.0,luxembourg,neutrals,en,en
29,54,20398.0,What countries are major recipients of FDI?,singapore,4.0,singapore,neutrals,en,en
30,55,20398.0,What countries are major recipients of FDI?,south america,1.0,south america,neutrals,en,en
31,56,20398.0,What countries are major recipients of FDI?,swiss,1.0,swiss,neutrals,en,en
32,57,20398.0,What countries are major recipients of FDI?,thailand,1.0,thailand,neutrals,en,en
33,58,20398.0,What countries are major recipients of FDI?,turkey,1.0,turkey,neutrals,en,en
34,59,20398.0,What countries are major recipients of FDI?,uae,2.0,uae,neutrals,en,en
35,60,20398.0,What countries are major recipients of FDI?,uk,3.0,united kingdom,neutrals,en,en
36,61,20398.0,What countries are major recipients of FDI?,united kingdom,1.0,united kingdom,neutrals,en,en
37,62,20398.0,What countries are major recipients of FDI?,vietnam,1.0,vietnam,neutrals,en,en
38,77,20785.0,Какие эмоции вы испытали от участия в Чемпионате? (введите не более 3-х слов),удовольствие,2.0,удовольствие,positives,ru,ru
39,78,20785.0,Какие эмоции вы испытали от участия в Чемпионате? (введите не более 3-х слов),эйфория,1.0,удовольствие,positives,ru,ru
40,79,20785.0,Какие эмоции вы испытали от участия в Чемпионате? (введите не более 3-х слов),это было круто!,1.0,это было круто,positives,ru,ru
41,80,20785.0,Какие эмоции вы испытали от участия в Чемпионате? (введите не более 3-х слов),изумление,1.0,изумление,neutrals,ru,ru
42,81,20785.0,Какие эмоции вы испытали от участия в Чемпионате? (введите не более 3-х слов),интерес,2.0,интерес,positives,ru,ru
43,82,20785.0,Какие эмоции вы испытали от участия в Чемпионате? (введите не более 3-х слов),интересно,1.0,интерес,positives,ru,ru
44,83,20785.0,Какие эмоции вы испытали от участия в Чемпионате? (введите не более 3-х слов),испуг,1.0,испуг,neutrals,ru,ru
45,84,20785.0,Какие эмоции вы испытали от участия в Чемпионате? (введите не более 3-х слов),общение,1.0,общение,neutrals,ru,ru
46,85,20785.0,Какие эмоции вы испытали от участия в Чемпионате? (введите не более 3-х слов),умиротворение,1.0,умиротворение,positives,ru,ru
47,86,20785.0,Какие эмоции вы испытали от участия в Чемпионате? (введите не более 3-х слов),усталость,4.0,усталость,negatives,ru,ru
48,87,20785.0,Какие эмоции вы испытали от участия в Чемпионате? (введите не более 3-х слов),чувство единения команды,1.0,чувство единения команды,positives,ru,ru
49,88,20799.0,Name 3 most important skills that you expect you will need in your future job.,hard working,1.0,hard working,neutrals,en,en
50,89,20799.0,Name 3 most important skills that you expect you will need in your future job.,innovation,1.0,innovation,neutrals,en,en
51,90,20799.0,Name 3 most important skills that you expect you will need in your future job.,it,1.0,it skills,neutrals,en,en
52,91,20799.0,Name 3 most important skills that you expect you will need in your future job.,it skills,1.0,it skills,neutrals,en,en
53,92,20799.0,Name 3 most important skills that you expect you will need in your future job.,leadership,1.0,leadership,positives,en,en
54,93,20799.0,Name 3 most important skills that you expect you will need in your future job.,leadership skills,1.0,leadership,positives,en,en
55,94,20799.0,Name 3 most important skills that you expect you will need in your future job.,open-mindedness,1.0,open mindedness,positives,en,en
56,95,20799.0,Name 3 most important skills that you expect you will need in your future job.,patience,1.0,patience,positives,en,en
57,96,20799.0,Name 3 most important skills that you expect you will need in your future job.,perseverance,1.0,perseverance,positives,en,en
58,97,20799.0,Name 3 most important skills that you expect you will need in your future job.,responsibility,2.0,responsibility,neutrals,en,en
59,98,20799.0,Name 3 most important skills that you expect you will need in your future job.,soft,1.0,soft skills,neutrals,en,en
60,99,20799.0,Name 3 most important skills that you expect you will need in your future job.,soft skills,2.0,soft skills,neutrals,en,en
61,100,20799.0,Name 3 most important skills that you expect you will need in your future job.,stress resistance,1.0,stress resistance,positives,en,en
62,101,21571.0,С чем у Вас ассоциируется прошедшая сессия?,функционал,1.0,функционал,neutrals,ru,ru
63,102,21571.0,С чем у Вас ассоциируется прошедшая сессия?,хорошей возможностью подумать,1.0,хорошей возможностью подумать,positives,ru,ru
64,103,21571.0,С чем у Вас ассоциируется прошедшая сессия?,цели,1.0,цели,neutrals,ru,ru
65,104,21571.0,С чем у Вас ассоциируется прошедшая сессия?,цель,1.0,цели,neutrals,ru,ru
66,105,21571.0,С чем у Вас ассоциируется прошедшая сессия?,шан на движение вперед,1.0,шанс на движение вперед,positives,ru,ru
67,106,21571.0,С чем у Вас ассоциируется прошедшая сессия?,напряжение,1.0,напряжение,negatives,ru,ru
68,107,21571.0,С чем у Вас ассоциируется прошедшая сессия?,удобство,1.0,удобство,positives,ru,ru
69,112,21586.0,"1. Топ 3 дефицита компетенций по безопасности у молодых сотрудников, которые приходят в отрасль? / Top 3 safety competencies gaps among young employees entering the industry?",понимание своего влияния,1.0,понимание своего влияния,neutrals,ru,ru
70,113,21586.0,"1. Топ 3 дефицита компетенций по безопасности у молодых сотрудников, которые приходят в отрасль? / Top 3 safety competencies gaps among young employees entering the industry?",практические навыки,1.0,практические навыки,neutrals,ru,ru
71,114,21586.0,"1. Топ 3 дефицита компетенций по безопасности у молодых сотрудников, которые приходят в отрасль? / Top 3 safety competencies gaps among young employees entering the industry?",психологич,1.0,психологические,neutrals,ru,ru
72,115,21586.0,"1. Топ 3 дефицита компетенций по безопасности у молодых сотрудников, которые приходят в отрасль? / Top 3 safety competencies gaps among young employees entering the industry?",чф,1.0,чф,neutrals,ru,ru
73,116,21718.0,Ключевые ассоциации с либерально-идеалистической парадигмой,свобода актора,2.0,свобода актора,positives,ru,ru
74,117,21718.0,Ключевые ассоциации с либерально-идеалистической парадигмой,свобода идея люди рынок мир,1.0,свобода идея люди рынок мир,positives,ru,ru
75,118,21718.0,Ключевые ассоциации с либерально-идеалистической парадигмой,свобода права и морали,1.0,свобода права и морали,positives,ru,ru
76,119,21718.0,Ключевые ассоциации с либерально-идеалистической парадигмой,свободное право,1.0,свободное право,positives,ru,ru
77,120,21718.0,Ключевые ассоциации с либерально-идеалистической парадигмой,сотрудничество,2.0,сотрудничество,positives,ru,ru
78,121,21718.0,Ключевые ассоциации с либерально-идеалистической парадигмой,универсальные ценности,1.0,универсальные ценности,neutrals,ru,ru
79,122,21718.0,Ключевые ассоциации с либерально-идеалистической парадигмой,частная собственность,2.0,частная собственность,neutrals,ru,ru
80,123,21756.0,Опишите одним словом ваше текущее состояние,сложно,1.0,сложно,negatives,ru,ru
81,124,21756.0,Опишите одним словом ваше текущее состояние,тяжело,1.0,сложно,negatives,ru,ru
82,125,21756.0,Опишите одним словом ваше текущее состояние,смятение,2.0,смятение,negatives,ru,ru
83,126,21756.0,Опишите одним словом ваше текущее состояние,собранность,2.0,сосредоточенность,positives,ru,ru
84,127,21756.0,Опишите одним словом ваше текущее состояние,сосредоточенность,2.0,сосредоточенность,positives,ru,ru
85,128,21756.0,Опишите одним словом ваше текущее состояние,сожаление,1.0,сожаление,neutrals,ru,ru
86,129,21756.0,Опишите одним словом ваше текущее состояние,стабильно,3.0,стабильное,neutrals,ru,ru
87,130,21756.0,Опишите одним словом ваше текущее состояние,стабильное,15.0,стабильное,positives,ru,ru
88,131,21756.0,Опишите одним словом ваше текущее состояние,стабильность,3.0,стабильное,positives,ru,ru
89,132,21756.0,Опишите одним словом ваше текущее состояние,стагнация,1.0,стагнация,negatives,ru,ru
90,133,21756.0,Опишите одним словом ваше текущее состояние,стараюсь отвлечься,1.0,стараюсь отвлечься,neutrals,ru,ru
91,134,21756.0,Опишите одним словом ваше текущее состояние,стресс,18.0,стресс,negatives,ru,ru
92,135,21756.0,Опишите одним словом ваше текущее состояние,твик из южного парка,1.0,твик из южного парка,neutrals,ru,ru
93,136,21756.0,Опишите одним словом ваше текущее состояние,текущее положение в стране,1.0,текущее положение в стране,neutrals,ru,ru
94,137,21756.0,Опишите одним словом ваше текущее состояние,только вперед),1.0,только вперед,positives,ru,ru
95,138,21756.0,Опишите одним словом ваше текущее состояние,ультрамыслительное,1.0,ультрамыслительное,neutrals,ru,ru
96,139,21756.0,Опишите одним словом ваше текущее состояние,упадок,1.0,упадок,negatives,ru,ru
97,140,21756.0,Опишите одним словом ваше текущее состояние,упадок сил,1.0,упадок,negatives,ru,ru
98,141,21756.0,Опишите одним словом ваше текущее состояние,хаос,1.0,хаос,negatives,ru,ru
99,142,21756.0,Опишите одним словом ваше текущее состояние,целеустремленность,1.0,целеустремлённость,positives,ru,ru
100,143,21756.0,Опишите одним словом ваше текущее состояние,целеустремлённость,1.0,целеустремлённость,positives,ru,ru
101,144,21756.0,Опишите одним словом ваше текущее состояние,цели понятны,1.0,цели понятны,positives,ru,ru
102,145,21756.0,Опишите одним словом ваше текущее состояние,частые перепады настроения,1.0,частые перепады настроения,negatives,ru,ru
103,146,21756.0,Опишите одним словом ваше текущее состояние,эмоциональная мясорубка,1.0,частые перепады настроения,negatives,ru,ru
104,147,21756.0,Опишите одним словом ваше текущее состояние,шок,2.0,шок,neutrals,ru,ru
105,148,21817.0,Ключевые ассоциации с парадигмой политического реализма (5 слов),пессимизм,1.0,пессимизм,neutrals,ru,ru
106,149,21817.0,Ключевые ассоциации с парадигмой политического реализма (5 слов),поиск,1.0,поиск,neutrals,ru,ru
107,150,21817.0,Ключевые ассоциации с парадигмой политического реализма (5 слов),политика,1.0,политика,neutrals,ru,ru
108,151,21817.0,Ключевые ассоциации с парадигмой политического реализма (5 слов),политические деятели,1.0,политические деятели,neutrals,ru,ru
109,152,21817.0,Ключевые ассоциации с парадигмой политического реализма (5 слов),президенты,1.0,президенты,neutrals,ru,ru
110,153,21817.0,Ключевые ассоциации с парадигмой политического реализма (5 слов),равноправие,1.0,равноправие,positives,ru,ru
111,154,21817.0,Ключевые ассоциации с парадигмой политического реализма (5 слов),рациональность,1.0,рациональность,neutrals,ru,ru
112,155,21817.0,Ключевые ассоциации с парадигмой политического реализма (5 слов),развитие,1.0,развитие,positives,ru,ru
113,156,21817.0,Ключевые ассоциации с парадигмой политического реализма (5 слов),решение,1.0,решение,neutrals,ru,ru
114,157,21817.0,Ключевые ассоциации с парадигмой политического реализма (5 слов),сила,2.0,сила,positives,ru,ru
115,158,21817.0,Ключевые ассоциации с парадигмой политического реализма (5 слов),сотрудничество,2.0,сотрудничество,positives,ru,ru
116,159,21819.0,"Какие направления работы, на ваш взгляд, обязательно должны быть в деятельности Совета молодежи?",развитие it,1.0,развитие it,positives,ru,ru
117,160,21819.0,"Какие направления работы, на ваш взгляд, обязательно должны быть в деятельности Совета молодежи?",тем. встречи квиз,1.0,тематические встречи опрос,neutrals,ru,ru
118,161,21819.0,"Какие направления работы, на ваш взгляд, обязательно должны быть в деятельности Совета молодежи?",тех. туры,1.0,технические туры,neutrals,ru,ru
119,162,21819.0,"Какие направления работы, на ваш взгляд, обязательно должны быть в деятельности Совета молодежи?",технические туры на аэс,1.0,технические туры на аэс,neutrals,ru,ru
120,163,21819.0,"Какие направления работы, на ваш взгляд, обязательно должны быть в деятельности Совета молодежи?",технические туры на аэс и т.д.,1.0,технические туры на аэс,neutrals,ru,ru
121,164,21819.0,"Какие направления работы, на ваш взгляд, обязательно должны быть в деятельности Совета молодежи?",техтуры,1.0,технические туры,neutrals,ru,ru
122,165,21819.0,"Какие направления работы, на ваш взгляд, обязательно должны быть в деятельности Совета молодежи?",туристическое тех.туры,1.0,технические туры,neutrals,ru,ru
123,166,21819.0,"Какие направления работы, на ваш взгляд, обязательно должны быть в деятельности Совета молодежи?",участие в разрешении проблем,1.0,участие в разрешении проблем,neutrals,ru,ru
124,167,21819.0,"Какие направления работы, на ваш взгляд, обязательно должны быть в деятельности Совета молодежи?",цех,1.0,цех,neutrals,ru,ru
125,168,21819.0,"Какие направления работы, на ваш взгляд, обязательно должны быть в деятельности Совета молодежи?",цифровизация,1.0,цифровизация,neutrals,ru,ru
126,169,21819.0,"Какие направления работы, на ваш взгляд, обязательно должны быть в деятельности Совета молодежи?",чтгдк-да...,1.0,чтгдк да,neutrals,ru,ru
127,170,23023.0,Напишите ваши ожидания от курса в 2х словах?,новые возможности,1.0,новые возможности,positives,bg,bg
128,171,23023.0,Напишите ваши ожидания от курса в 2х словах?,новые смыслы образовательных с,1.0,новые смыслы образовательных с,neutrals,bg,bg
129,172,23023.0,Напишите ваши ожидания от курса в 2х словах?,профильный летний лагерь,1.0,профильный летний лагерь,neutrals,bg,bg
130,174,23097.0,"Напишите свою ассоциацию со словом ""бюрократ""",сразунеподписывающий,1.0,сразу не подписывающий,neutrals,ru,ru
131,175,23097.0,"Напишите свою ассоциацию со словом ""бюрократ""",срок,1.0,сроки,neutrals,ru,ru
132,176,23097.0,"Напишите свою ассоциацию со словом ""бюрократ""",сроки,1.0,сроки,neutrals,ru,ru
133,177,23097.0,"Напишите свою ассоциацию со словом ""бюрократ""",стабильный,1.0,стабильный,positives,ru,ru
134,178,23097.0,"Напишите свою ассоциацию со словом ""бюрократ""",стандарт,1.0,стандарт,neutrals,ru,ru
135,179,23097.0,"Напишите свою ассоциацию со словом ""бюрократ""",стандартизация,1.0,стандарт,neutrals,ru,ru
136,180,23097.0,"Напишите свою ассоциацию со словом ""бюрократ""",стена,1.0,стена,neutrals,ru,ru
137,181,23097.0,"Напишите свою ассоциацию со словом ""бюрократ""",стиль жизни,1.0,стиль жизни,neutrals,ru,ru
138,182,23097.0,"Напишите свою ассоциацию со словом ""бюрократ""",стол,1.0,стол,neutrals,ru,ru
139,183,23097.0,"Напишите свою ассоциацию со словом ""бюрократ""",столодержатель,3.0,столодержатель,neutrals,ru,ru
140,184,23097.0,"Напишите свою ассоциацию со словом ""бюрократ""",страх,3.0,страх,negatives,ru,ru
141,185,23097.0,"Напишите свою ассоциацию со словом ""бюрократ""",трус,3.0,трус,negatives,ru,ru
142,186,23097.0,"Напишите свою ассоциацию со словом ""бюрократ""",трусость,1.0,трус,negatives,ru,ru
143,187,23097.0,"Напишите свою ассоциацию со словом ""бюрократ""",трусишка,1.0,трус,negatives,ru,ru
144,188,23097.0,"Напишите свою ассоциацию со словом ""бюрократ""",суета,2.0,суета,negatives,ru,ru
145,189,23097.0,"Напишите свою ассоциацию со словом ""бюрократ""",тугодум,2.0,тугодум,negatives,ru,ru
146,190,23097.0,"Напишите свою ассоциацию со словом ""бюрократ""",существование,1.0,существование,neutrals,ru,ru
147,191,23097.0,"Напишите свою ассоциацию со словом ""бюрократ""",тщетный,1.0,тщетный,negatives,ru,ru
148,192,23097.0,"Напишите свою ассоциацию со словом ""бюрократ""",табличка,1.0,табличка,neutrals,ru,ru
149,193,23097.0,"Напишите свою ассоциацию со словом ""бюрократ""",удовлетворение своих желаний,1.0,удовлетворение своих желаний,positives,ru,ru
150,194,23097.0,"Напишите свою ассоциацию со словом ""бюрократ""",типичный,1.0,типичный,neutrals,ru,ru
151,195,23097.0,"Напишите свою ассоциацию со словом ""бюрократ""",узколобость,1.0,узколобый,negatives,ru,ru
152,196,23097.0,"Напишите свою ассоциацию со словом ""бюрократ""",узколобый,1.0,узколобый,negatives,ru,ru
153,197,23097.0,"Напишите свою ассоциацию со словом ""бюрократ""",тиран,1.0,тиран,negatives,ru,ru
154,198,23097.0,"Напишите свою ассоциацию со словом ""бюрократ""",узп,1.0,узп,neutrals,ru,ru
155,199,23097.0,"Напишите свою ассоциацию со словом ""бюрократ""",товарищ дынин (из фильма),1.0,товарищ дынин из фильма,neutrals,ru,ru
156,200,23097.0,"Напишите свою ассоциацию со словом ""бюрократ""",уклонист,1.0,уклонист,neutrals,ru,ru
157,201,23097.0,"Напишите свою ассоциацию со словом ""бюрократ""",толстолобый,1.0,толстолобый,negatives,ru,ru
158,202,23097.0,"Напишите свою ассоциацию со словом ""бюрократ""",умник,1.0,умник,neutrals,ru,ru
159,203,23097.0,"Напишите свою ассоциацию со словом ""бюрократ""",топ-менеджмент,1.0,топ менеджмент,neutrals,ru,ru
160,204,23097.0,"Напишите свою ассоциацию со словом ""бюрократ""",усложнение,10.0,усложняющий,negatives,ru,ru
161,205,23097.0,"Напишите свою ассоциацию со словом ""бюрократ""",усложнение своей работы и друг,1.0,усложняющий,negatives,ru,ru
162,206,23097.0,"Напишите свою ассоциацию со словом ""бюрократ""",усложнитель,4.0,усложняющий,negatives,ru,ru
163,207,23097.0,"Напишите свою ассоциацию со словом ""бюрократ""",усложняющий,3.0,усложняющий,negatives,ru,ru
164,208,23097.0,"Напишите свою ассоциацию со словом ""бюрократ""",усложняющий простые процессы,1.0,усложняющий,negatives,ru,ru
165,209,23097.0,"Напишите свою ассоциацию со словом ""бюрократ""",человек усложняющий всем жизнь,1.0,усложняющий,negatives,ru,ru
166,210,23097.0,"Напишите свою ассоциацию со словом ""бюрократ""",трудозатратный,1.0,трудозатраты,neutrals,ru,ru
167,211,23097.0,"Напишите свою ассоциацию со словом ""бюрократ""",трудозатраты,1.0,трудозатраты,neutrals,ru,ru
168,212,23097.0,"Напишите свою ассоциацию со словом ""бюрократ""",усталость,1.0,усталость,negatives,ru,ru
169,213,23097.0,"Напишите свою ассоциацию со словом ""бюрократ""",утомительный,2.0,усталость,negatives,ru,ru
170,214,23097.0,"Напишите свою ассоциацию со словом ""бюрократ""",чрезмерные трудозатраты,1.0,трудозатраты,negatives,ru,ru
171,215,23097.0,"Напишите свою ассоциацию со словом ""бюрократ""",энергозатратность,1.0,трудозатраты,neutrals,ru,ru
172,216,23097.0,"Напишите свою ассоциацию со словом ""бюрократ""",утопия,1.0,утопия,neutrals,ru,ru
173,217,23097.0,"Напишите свою ассоциацию со словом ""бюрократ""",утративший цель,1.0,утративший цель,neutrals,ru,ru
174,218,23097.0,"Напишите свою ассоциацию со словом ""бюрократ""",ущерб,1.0,ущерб,negatives,ru,ru
175,219,23097.0,"Напишите свою ассоциацию со словом ""бюрократ""",ущерб дела,1.0,ущерб,negatives,ru,ru
176,220,23097.0,"Напишите свою ассоциацию со словом ""бюрократ""",фаервол,1.0,фаервол,neutrals,ru,ru
177,221,23097.0,"Напишите свою ассоциацию со словом ""бюрократ""",фарфуркис - сказка о тройке,1.0,фарфуркис сказка о тройке,neutrals,ru,ru
178,222,23097.0,"Напишите свою ассоциацию со словом ""бюрократ""",фильтр,1.0,фильтр,neutrals,ru,ru
179,223,23097.0,"Напишите свою ассоциацию со словом ""бюрократ""",функция,1.0,функция,neutrals,ru,ru
180,224,23097.0,"Напишите свою ассоциацию со словом ""бюрократ""",функционер,3.0,функционер,neutrals,ru,ru
181,225,23097.0,"Напишите свою ассоциацию со словом ""бюрократ""",футболист,1.0,футболист,neutrals,ru,ru
182,226,23097.0,"Напишите свою ассоциацию со словом ""бюрократ""",ханжество,1.0,ханжество,negatives,ru,ru
183,227,23097.0,"Напишите свою ассоциацию со словом ""бюрократ""",цепкий,1.0,цепкий,neutrals,ru,ru
184,228,23097.0,"Напишите свою ассоциацию со словом ""бюрократ""",человек,7.0,человек,neutrals,ru,ru
185,229,23097.0,"Напишите свою ассоциацию со словом ""бюрократ""",человек в футляре,1.0,человек в футляре,neutrals,ru,ru
186,230,23097.0,"Напишите свою ассоциацию со словом ""бюрократ""",человек с раздутым эго,1.0,человек с раздутым эго,negatives,ru,ru
187,231,23097.0,"Напишите свою ассоциацию со словом ""бюрократ""",эгоист,1.0,эгоист,negatives,ru,ru
188,232,23097.0,"Напишите свою ассоциацию со словом ""бюрократ""",червь,1.0,червь,neutrals,ru,ru
189,233,23097.0,"Напишите свою ассоциацию со словом ""бюрократ""",чин,1.0,чин,neutrals,ru,ru
190,234,23097.0,"Напишите свою ассоциацию со словом ""бюрократ""",чинопочитание,1.0,чинопочитание,neutrals,ru,ru
191,235,23097.0,"Напишите свою ассоциацию со словом ""бюрократ""",чопорный,2.0,чопорный,negatives,ru,ru
192,236,23097.0,"Напишите свою ассоциацию со словом ""бюрократ""",швондер,4.0,швондер,negatives,ru,ru
193,237,23097.0,"Напишите свою ассоциацию со словом ""бюрократ""",щелкопер,1.0,щелкопер,negatives,ru,ru
194,238,23097.0,"Напишите свою ассоциацию со словом ""бюрократ""",энергосос,1.0,энергосос,negatives,ru,ru
195,239,23097.0,"Напишите свою ассоциацию со словом ""бюрократ""",энтропия,1.0,энтропия,neutrals,ru,ru
196,240,23097.0,"Напишите свою ассоциацию со словом ""бюрократ""",юридическая безопасность,1.0,юридическая безопасность,positives,ru,ru
197,241,23097.0,"Напишите свою ассоциацию со словом ""бюрократ""",юристы,1.0,юристы,neutrals,ru,ru
198,242,23097.0,"Напишите свою ассоциацию со словом ""бюрократ""",якорь,5.0,якорь,neutrals,ru,ru
199,243,23097.0,"Напишите свою ассоциацию со словом ""бюрократ""",бурная деятельность,1.0,бурная деятельность,neutrals,ru,ru
200,244,23097.0,"Напишите свою ассоциацию со словом ""бюрократ""",бракодел,1.0,бракодел,negatives,ru,ru
201,245,23097.0,"Напишите свою ассоциацию со словом ""бюрократ""",бредятинан,1.0,бредятина,negatives,ru,ru
202,246,23097.0,"Напишите свою ассоциацию со словом ""бюрократ""",графики,1.0,графики,neutrals,ru,ru
203,247,23097.0,"Напишите свою ассоциацию со словом ""бюрократ""",москва,1.0,москва,neutrals,ru,ru
204,248,23097.0,"Напишите свою ассоциацию со словом ""бюрократ""",муниципалы,1.0,муниципалы,neutrals,ru,ru
205,249,23097.0,"Напишите свою ассоциацию со словом ""бюрократ""",осторожность,1.0,осторожность,neutrals,ru,ru
206,250,23097.0,"Напишите свою ассоциацию со словом ""бюрократ""",смысл,1.0,смысл,neutrals,ru,ru
207,251,23097.0,"Напишите свою ассоциацию со словом ""бюрократ""",тщательность,1.0,тщательность,positives,ru,ru
208,257,23359.0,"Какая ассоциация у вас со словом ""грамотность""? (1-2 слова)",владеющий,1.0,владеющий,neutrals,ru,ru
209,258,23359.0,"Какая ассоциация у вас со словом ""грамотность""? (1-2 слова)",донецк,1.0,донецк,neutrals,ru,ru
210,259,23359.0,"Какая ассоциация у вас со словом ""грамотность""? (1-2 слова)",интеллект,1.0,интеллект,positives,ru,ru
211,260,23359.0,"Какая ассоциация у вас со словом ""грамотность""? (1-2 слова)",образование,1.0,образование,neutrals,ru,ru
212,261,23359.0,"Какая ассоциация у вас со словом ""грамотность""? (1-2 слова)",отсутствие ошибок,1.0,отсутствие ошибок,positives,ru,ru
213,262,23359.0,"Какая ассоциация у вас со словом ""грамотность""? (1-2 слова)",современность,1.0,современность,neutrals,ru,ru
214,270,23379.0,Как настроение?,бодрое морозное,1.0,бодрое морозное,positives,ru,ru
215,271,23379.0,Как настроение?,всё клубнично как обычно,1.0,прекрасно,positives,ru,ru
216,272,23379.0,Как настроение?,замечательно,1.0,прекрасно,positives,ru,ru
217,273,23379.0,Как настроение?,замечательное,1.0,прекрасно,positives,ru,ru
218,274,23379.0,Как настроение?,круто,1.0,прекрасно,positives,ru,ru
219,275,23379.0,Как настроение?,кул,1.0,прекрасно,positives,ru,ru
220,276,23379.0,Как настроение?,лучше всех!,1.0,прекрасно,positives,ru,ru
221,277,23379.0,Как настроение?,огонь,1.0,прекрасно,positives,ru,ru
222,278,23379.0,Как настроение?,огонь🔥,1.0,прекрасно,positives,ru,ru
223,279,23379.0,Как настроение?,отлично,2.0,прекрасно,positives,ru,ru
224,280,23379.0,Как настроение?,отличное,9.0,прекрасно,positives,ru,ru
225,281,23379.0,Как настроение?,прекрасно,1.0,прекрасно,positives,ru,ru
226,282,23379.0,Как настроение?,радостное,1.0,радостное,positives,ru,ru
227,283,23379.0,Как настроение?,супер,4.0,прекрасно,positives,ru,ru
228,284,23379.0,Как настроение?,до объявления пароля не очень,1.0,до объявления пароля не очень,neutrals,ru,ru
229,285,23379.0,Как настроение?,норм,2.0,нормально,neutrals,ru,ru
230,286,23379.0,Как настроение?,нормально,2.0,нормально,neutrals,ru,ru
231,287,23379.0,Как настроение?,хороше,1.0,хорошее,positives,ru,ru
232,288,23379.0,Как настроение?,хорошее,7.0,хорошее,positives,ru,ru
