,index,in_id,query,answers_text,answers_count,langdetect,langid
46,46,10119.0,"Что для вас ""культура доверия"" в организации?",открытость,1.0,ru,ru
47,47,10119.0,"Что для вас ""культура доверия"" в организации?",поддержка,1.0,ru,ru
48,48,10119.0,"Что для вас ""культура доверия"" в организации?",легкое общение,1.0,ru,ru
49,49,10119.0,"Что для вас ""культура доверия"" в организации?",выполнение обещаний в срок,1.0,ru,ru
50,50,10119.0,"Что для вас ""культура доверия"" в организации?",свобода,1.0,ru,ru
51,51,10119.0,"Что для вас ""культура доверия"" в организации?",возможность высказаться,1.0,ru,ru
52,52,10119.0,"Что для вас ""культура доверия"" в организации?","знать, что тебя не осудят",1.0,ru,ru
53,53,10119.0,"Что для вас ""культура доверия"" в организации?",честность и прозрачность,1.0,ru,ru
54,54,10119.0,"Что для вас ""культура доверия"" в организации?",отсутствие вранья в отношениях,1.0,ru,ru
55,55,10119.0,"Что для вас ""культура доверия"" в организации?",возможность открыто общаться,1.0,ru,ru
56,56,10119.0,"Что для вас ""культура доверия"" в организации?",честность,1.0,ru,ru
57,57,10119.0,"Что для вас ""культура доверия"" в организации?",открытость,1.0,ru,ru
58,58,10119.0,"Что для вас ""культура доверия"" в организации?",безопасность,1.0,ru,ru
59,59,10119.0,"Что для вас ""культура доверия"" в организации?",открытая обратная связь,1.0,ru,ru
60,60,10119.0,"Что для вас ""культура доверия"" в организации?",честность с руководством,1.0,ru,ru
61,61,10119.0,"Что для вас ""культура доверия"" в организации?",делиться переживаниями,1.0,ru,ru
62,62,10119.0,"Что для вас ""культура доверия"" в организации?",когда я могу открыто говорить,1.0,ru,ru
63,63,10119.0,"Что для вас ""культура доверия"" в организации?",можно обратиться,1.0,ru,ru
64,64,10119.0,"Что для вас ""культура доверия"" в организации?",можно быть услышанным,1.0,ru,ru
65,65,10119.0,"Что для вас ""культура доверия"" в организации?",можно без обиды отказать,1.0,ru,ru
66,66,10119.0,"Что для вас ""культура доверия"" в организации?",говорю об ошибках,1.0,ru,ru
67,67,10119.0,"Что для вас ""культура доверия"" в организации?",предлагаю свободно идеи,1.0,ru,ru
68,68,10119.0,"Что для вас ""культура доверия"" в организации?","все равны - и новый, и ""старый",1.0,ru,ru
69,69,10119.0,"Что для вас ""культура доверия"" в организации?",отсутствие двуличности,1.0,ru,ru
70,70,10119.0,"Что для вас ""культура доверия"" в организации?",отсутствие лжи,1.0,ru,ru
71,71,10119.0,"Что для вас ""культура доверия"" в организации?",правда подтверждается фактами,1.0,ru,ru
72,72,10119.0,"Что для вас ""культура доверия"" в организации?",свобода слова,1.0,ru,ru
73,73,10119.0,"Что для вас ""культура доверия"" в организации?",отсутствие лицемерия,1.0,ru,ru
74,74,10119.0,"Что для вас ""культура доверия"" в организации?",нет двойных стандартов,1.0,ru,ru
75,75,10119.0,"Что для вас ""культура доверия"" в организации?",заявил проблему и получил,1.0,ru,ru
76,76,10119.0,"Что для вас ""культура доверия"" в организации?",заявил проблему и сам решаешь,1.0,ru,ru
77,77,10119.0,"Что для вас ""культура доверия"" в организации?",открыто выражать мнение,1.0,ru,ru
78,78,10119.0,"Что для вас ""культура доверия"" в организации?",уверенность в искренности друг,1.0,ru,ru
79,79,10119.0,"Что для вас ""культура доверия"" в организации?",поддержка и защита,1.0,ru,ru
80,80,10119.0,"Что для вас ""культура доверия"" в организации?",не бояться говорить что думаеш,1.0,ru,ru
81,81,10119.0,"Что для вас ""культура доверия"" в организации?",обратная связь без последствий,1.0,ru,ru
82,82,10119.0,"Что для вас ""культура доверия"" в организации?",открытость информации,1.0,ru,ru
83,83,10119.0,"Что для вас ""культура доверия"" в организации?",открытый разговор,1.0,ru,ru
84,84,10119.0,"Что для вас ""культура доверия"" в организации?",незамалчивание проблем,1.0,ru,ru
85,85,10119.0,"Что для вас ""культура доверия"" в организации?",нет обсуждений  «за спиной»,1.0,ru,ru
86,86,10119.0,"Что для вас ""культура доверия"" в организации?",всегда поддержат,1.0,ru,ru
87,87,10119.0,"Что для вас ""культура доверия"" в организации?",нет страха наказания,1.0,ru,ru
88,88,10119.0,"Что для вас ""культура доверия"" в организации?",ошибки это нормально,1.0,ru,ru
89,89,10119.0,"Что для вас ""культура доверия"" в организации?",право на ошибку,1.0,ru,ru
90,90,10119.0,"Что для вас ""культура доверия"" в организации?",без двойных стандартов,1.0,ru,ru
91,91,10119.0,"Что для вас ""культура доверия"" в организации?",без любимчиков,1.0,ru,ru
92,92,10119.0,"Что для вас ""культура доверия"" в организации?",открытость друг к другу,1.0,ru,ru
93,93,10119.0,"Что для вас ""культура доверия"" в организации?",открытость руководителя,1.0,ru,ru
94,94,10119.0,"Что для вас ""культура доверия"" в организации?",дилемма кому и когда доверять,1.0,ru,ru
95,95,10119.0,"Что для вас ""культура доверия"" в организации?",безопасная среда,1.0,ru,ru
96,96,10119.0,"Что для вас ""культура доверия"" в организации?",профессионализм,1.0,ru,ru
97,97,10119.0,"Что для вас ""культура доверия"" в организации?",свобода выбора методов,1.0,ru,ru
98,98,10119.0,"Что для вас ""культура доверия"" в организации?",открытое обсуждение точек рост,1.0,ru,ru
99,99,10119.0,"Что для вас ""культура доверия"" в организации?",когда не осуждают,1.0,ru,ru
100,100,10119.0,"Что для вас ""культура доверия"" в организации?",когда можешь говорить открыто,1.0,ru,ru
101,101,10119.0,"Что для вас ""культура доверия"" в организации?",твое мнение не равно увольнени,1.0,ru,ru
102,102,10119.0,"Что для вас ""культура доверия"" в организации?",важные элементы доверия - это,1.0,ru,ru
103,103,10119.0,"Что для вас ""культура доверия"" в организации?",это честность и уважение,1.0,ru,ru
104,104,10119.0,"Что для вас ""культура доверия"" в организации?",-,1.0,ru,ru
105,105,10119.0,"Что для вас ""культура доверия"" в организации?",один за всех и все за одного,1.0,ru,ru
106,106,10119.0,"Что для вас ""культура доверия"" в организации?",безопасное пространство,1.0,ru,ru
107,107,10119.0,"Что для вас ""культура доверия"" в организации?",открытые взаимоотношения,1.0,ru,ru
108,108,10119.0,"Что для вас ""культура доверия"" в организации?",поддержка коллег,1.0,ru,ru
109,109,10119.0,"Что для вас ""культура доверия"" в организации?",уверенность,1.0,ru,ru
110,110,10119.0,"Что для вас ""культура доверия"" в организации?",наличие компетентных сотрудник,1.0,ru,ru
111,111,10119.0,"Что для вас ""культура доверия"" в организации?",выполняет обещанное в срок,1.0,ru,ru
112,112,10119.0,"Что для вас ""культура доверия"" в организации?",верить друг другу,1.0,ru,ru
113,113,10119.0,"Что для вас ""культура доверия"" в организации?",правила конфиденциальност,1.0,ru,ru
114,114,10119.0,"Что для вас ""культура доверия"" в организации?",возможность признавать ошибки,1.0,ru,ru
115,115,10119.0,"Что для вас ""культура доверия"" в организации?",взаимоуважение,1.0,ru,ru
116,116,10119.0,"Что для вас ""культура доверия"" в организации?",доверие команде,1.0,ru,ru
117,117,10119.0,"Что для вас ""культура доверия"" в организации?",взаимопомощь и взаимодействие,1.0,ru,ru
118,118,10119.0,"Что для вас ""культура доверия"" в организации?",комфортная работа,1.0,ru,ru
119,119,10119.0,"Что для вас ""культура доверия"" в организации?",смело выражать мнение,1.0,ru,ru
120,120,10119.0,"Что для вас ""культура доверия"" в организации?",не быть осужденным,1.0,ru,ru
121,121,10119.0,"Что для вас ""культура доверия"" в организации?",ответственность,1.0,ru,ru
122,122,10119.0,"Что для вас ""культура доверия"" в организации?",доверительные отношения,1.0,ru,ru
123,123,10119.0,"Что для вас ""культура доверия"" в организации?",могу честно сказать свой минус,1.0,ru,ru
124,124,10119.0,"Что для вас ""культура доверия"" в организации?",доверить задачу без контроля,1.0,ru,ru
125,125,10119.0,"Что для вас ""культура доверия"" в организации?","сказать, что думаю",1.0,ru,ru
126,126,10119.0,"Что для вас ""культура доверия"" в организации?",когда не боятся ошибиться,1.0,ru,ru
127,127,10119.0,"Что для вас ""культура доверия"" в организации?",уметь хранить секреты,1.0,ru,ru
128,128,10119.0,"Что для вас ""культура доверия"" в организации?",быть честным,1.0,ru,ru
129,129,10119.0,"Что для вас ""культура доверия"" в организации?",доверие коллегам,1.0,ru,ru
130,130,10119.0,"Что для вас ""культура доверия"" в организации?","меня поругают, но не накажут",1.0,ru,ru
131,131,10119.0,"Что для вас ""культура доверия"" в организации?",не страшно сказать об ошибке,1.0,ru,ru
132,132,10119.0,"Что для вас ""культура доверия"" в организации?",отсутствие наказаний за ошибки,1.0,ru,ru
133,133,10119.0,"Что для вас ""культура доверия"" в организации?",честность друг с другом,1.0,ru,ru
134,134,10119.0,"Что для вас ""культура доверия"" в организации?",возможность говорить открыто,1.0,ru,ru
135,135,10119.0,"Что для вас ""культура доверия"" в организации?",совместный диалог,1.0,ru,ru
136,136,10119.0,"Что для вас ""культура доверия"" в организации?",правда,1.0,ru,ru
137,137,10119.0,"Что для вас ""культура доверия"" в организации?",возможность открыто обсуждать,1.0,ru,ru
138,138,10119.0,"Что для вас ""культура доверия"" в организации?",открытость коммуникации,1.0,ru,ru
139,139,10119.0,"Что для вас ""культура доверия"" в организации?",общение,1.0,ru,ru
140,140,10119.0,"Что для вас ""культура доверия"" в организации?",не прятать ошибки,1.0,ru,ru
141,141,10119.0,"Что для вас ""культура доверия"" в организации?",поощрение культуры ownershipa,1.0,ru,ru
142,142,10119.0,"Что для вас ""культура доверия"" в организации?",доверие между сотрудниками,1.0,ru,ru
143,143,10119.0,"Что для вас ""культура доверия"" в организации?",доброжелательность,1.0,ru,ru
144,144,10119.0,"Что для вас ""культура доверия"" в организации?",когда не конт-ют на каждом шаг,1.0,ru,ru
145,145,10119.0,"Что для вас ""культура доверия"" в организации?",безопасность быть собой,1.0,ru,ru
146,146,10119.0,"Что для вас ""культура доверия"" в организации?",толерантность к разному,1.0,ru,ru
147,147,10119.0,"Что для вас ""культура доверия"" в организации?",поддержка,1.0,ru,ru
148,148,10119.0,"Что для вас ""культура доверия"" в организации?",обоюдная открытость,1.0,ru,ru
149,149,10119.0,"Что для вас ""культура доверия"" в организации?",возможность высказывать идеи,1.0,ru,ru
150,150,10119.0,"Что для вас ""культура доверия"" в организации?",открытый диалог,1.0,ru,ru
151,151,10119.0,"Что для вас ""культура доверия"" в организации?",выдача корректной информации,1.0,ru,ru
152,152,10119.0,"Что для вас ""культура доверия"" в организации?",когда между руководителем и со,1.0,ru,ru
153,153,10119.0,"Что для вас ""культура доверия"" в организации?",устойчивые нормы и правила,1.0,ru,ru
154,154,10119.0,"Что для вас ""культура доверия"" в организации?",взаимопомощь и поддержка,1.0,ru,ru
155,155,10119.0,"Что для вас ""культура доверия"" в организации?",достойный имидж организации,1.0,ru,ru
156,156,10119.0,"Что для вас ""культура доверия"" в организации?",открытость и доступность инф-и,1.0,ru,ru
157,157,10119.0,"Что для вас ""культура доверия"" в организации?",честность,1.0,ru,ru
158,158,10119.0,"Что для вас ""культура доверия"" в организации?",поддержка,1.0,ru,ru
159,159,10119.0,"Что для вас ""культура доверия"" в организации?",желание делиться информацией,1.0,ru,ru
160,160,10119.0,"Что для вас ""культура доверия"" в организации?",не хватает количества знаков,1.0,ru,ru
161,161,10119.0,"Что для вас ""культура доверия"" в организации?",продуктивная работа,1.0,ru,ru
162,162,10119.0,"Что для вас ""культура доверия"" в организации?","говорим прямо, без утаиваний",1.0,ru,ru
163,163,10119.0,"Что для вас ""культура доверия"" в организации?",уверенность в окружающих людях,1.0,ru,ru
164,164,10119.0,"Что для вас ""культура доверия"" в организации?",помощь без выгоды,1.0,ru,ru
165,165,10119.0,"Что для вас ""культура доверия"" в организации?",свободно выражать мнение,1.0,ru,ru
166,166,10119.0,"Что для вас ""культура доверия"" в организации?",открытость,1.0,ru,ru
167,167,10119.0,"Что для вас ""культура доверия"" в организации?",безопасность высказываний,1.0,ru,ru
168,168,10119.0,"Что для вас ""культура доверия"" в организации?",низкая бюрократия,1.0,ru,ru
169,169,10119.0,"Что для вас ""культура доверия"" в организации?",ффф,1.0,ru,ru
170,170,1036.0,Что хорошего сделал за день?,поела,1.0,ru,ru
171,171,1036.0,Что хорошего сделал за день?,решил вопрос,1.0,ru,ru
172,172,1036.0,Что хорошего сделал за день?,2,1.0,ru,ru
173,173,1036.0,Что хорошего сделал за день?,потестил,1.0,ru,ru
174,174,1036.0,Что хорошего сделал за день?,поучаствовал в ретро,1.0,ru,ru
175,175,1036.0,Что хорошего сделал за день?,поработал,1.0,ru,ru
176,176,1036.0,Что хорошего сделал за день?,проснулся :),1.0,ru,ru
177,177,1036.0,Что хорошего сделал за день?,участвовал в совещаниях,1.0,ru,ru
178,178,1036.0,Что хорошего сделал за день?,поела,1.0,ru,ru
179,179,1036.0,Что хорошего сделал за день?,создала себе новогоднее настроение,1.0,ru,ru
180,180,1036.0,Что хорошего сделал за день?,🙈,1.0,ru,ru
181,181,1036.0,Что хорошего сделал за день?,testing answer,1.0,ru,ru
182,182,1036.0,Что хорошего сделал за день?,покушал,1.0,ru,ru
183,183,1036.0,Что хорошего сделал за день?,порадовал своим присутствием >.<,1.0,ru,ru
184,184,1036.0,Что хорошего сделал за день?,помыл руки,1.0,ru,ru
185,185,1036.0,Что хорошего сделал за день?,поработал,1.0,ru,ru
186,186,1036.0,Что хорошего сделал за день?,успешный успех,1.0,ru,ru
187,187,1036.0,Что хорошего сделал за день?,покушал,1.0,ru,ru
188,188,1036.0,Что хорошего сделал за день?,приехал в офис,1.0,ru,ru
189,189,1036.0,Что хорошего сделал за день?,посмеялась,1.0,ru,ru
190,190,1036.0,Что хорошего сделал за день?,привет,1.0,ru,ru
191,191,1036.0,Что хорошего сделал за день?,<blink>hello there</blink>,1.0,ru,ru
192,192,1036.0,Что хорошего сделал за день?,закрыла все задачи),1.0,ru,ru
193,193,1036.0,Что хорошего сделал за день?,";!""№; 35",1.0,ru,ru
194,194,1036.0,Что хорошего сделал за день?,123www,1.0,ru,ru
195,195,1036.0,Что хорошего сделал за день?,<i><b>много всего</i></b>,1.0,ru,ru
196,196,1036.0,Что хорошего сделал за день?,сделала презентацию,1.0,ru,ru
197,197,1036.0,Что хорошего сделал за день?,достиг целей,1.0,ru,ru
198,198,1036.0,Что хорошего сделал за день?,макет,1.0,ru,ru
199,199,1036.0,Что хорошего сделал за день?,поел,1.0,ru,ru
200,200,1036.0,Что хорошего сделал за день?,потестил,1.0,ru,ru
201,201,1036.0,Что хорошего сделал за день?,провел 10 встреч,1.0,ru,ru
202,202,1036.0,Что хорошего сделал за день?,работаю вот,1.0,ru,ru
203,203,1036.0,Что хорошего сделал за день?,123www,1.0,ru,ru
204,204,1036.0,Что хорошего сделал за день?,.net code,1.0,ru,ru
205,205,1036.0,Что хорошего сделал за день?,нашел багу,1.0,ru,ru
206,206,1036.0,Что хорошего сделал за день?,погладил котика ^^,1.0,ru,ru
207,207,1036.0,Что хорошего сделал за день?,выполнил план,1.0,ru,ru
208,208,1036.0,Что хорошего сделал за день?,переговоры,1.0,ru,ru
209,209,1036.0,Что хорошего сделал за день?,не умер,1.0,ru,ru
210,210,1036.0,Что хорошего сделал за день?,поработал,1.0,ru,ru
211,211,1036.0,Что хорошего сделал за день?,поработал,1.0,ru,ru
212,212,1036.0,Что хорошего сделал за день?,příliš žluťoučký kůň úpěl ďábelské ódy,1.0,ru,ru
213,213,1036.0,Что хорошего сделал за день?,поработал,1.0,ru,ru
214,214,11016.0,Опишите одним-двумя словами что было самым ценным для вас за этот день?,общение,1.0,ru,ru
215,215,11016.0,Опишите одним-двумя словами что было самым ценным для вас за этот день?,опыт,1.0,ru,ru
216,216,11016.0,Опишите одним-двумя словами что было самым ценным для вас за этот день?,полезно использовать в будущем,1.0,ru,ru
217,217,11016.0,Опишите одним-двумя словами что было самым ценным для вас за этот день?,понятие клиентооринтрованости,1.0,ru,ru
218,218,11016.0,Опишите одним-двумя словами что было самым ценным для вас за этот день?,осознание клиентоцентричности,1.0,ru,ru
219,219,11016.0,Опишите одним-двумя словами что было самым ценным для вас за этот день?,общение с коллегам,1.0,ru,ru
220,220,11016.0,Опишите одним-двумя словами что было самым ценным для вас за этот день?,опыт,1.0,ru,ru
221,221,11016.0,Опишите одним-двумя словами что было самым ценным для вас за этот день?,общение с партнерами,1.0,ru,ru
222,222,11016.0,Опишите одним-двумя словами что было самым ценным для вас за этот день?,"информ. выступающих, раб. в ко",1.0,ru,ru
223,223,11016.0,Опишите одним-двумя словами что было самым ценным для вас за этот день?,мозговой штурм,1.0,ru,ru
224,224,11016.0,Опишите одним-двумя словами что было самым ценным для вас за этот день?,общение с коллегами,1.0,ru,ru
225,225,11016.0,Опишите одним-двумя словами что было самым ценным для вас за этот день?,новое видение старого,1.0,ru,ru
226,226,11016.0,Опишите одним-двумя словами что было самым ценным для вас за этот день?,общение с коллегами,1.0,ru,ru
227,227,11016.0,Опишите одним-двумя словами что было самым ценным для вас за этот день?,новые знания,1.0,ru,ru
228,228,11016.0,Опишите одним-двумя словами что было самым ценным для вас за этот день?,новые знакомства,1.0,ru,ru
229,229,11016.0,Опишите одним-двумя словами что было самым ценным для вас за этот день?,питание!,1.0,ru,ru
230,230,11016.0,Опишите одним-двумя словами что было самым ценным для вас за этот день?,информация,1.0,ru,ru
231,231,11016.0,Опишите одним-двумя словами что было самым ценным для вас за этот день?,общение с коллегами,1.0,ru,ru
232,232,11016.0,Опишите одним-двумя словами что было самым ценным для вас за этот день?,получение обратной связи,1.0,ru,ru
233,233,11016.0,Опишите одним-двумя словами что было самым ценным для вас за этот день?,"обмен опытом, знаниями",1.0,ru,ru
234,234,11016.0,Опишите одним-двумя словами что было самым ценным для вас за этот день?,"новые знания, обмен опытом",1.0,ru,ru
235,235,11016.0,Опишите одним-двумя словами что было самым ценным для вас за этот день?,общение с сотрудниками других,1.0,ru,ru
236,236,11016.0,Опишите одним-двумя словами что было самым ценным для вас за этот день?,конструктивный диалог,1.0,ru,ru
237,237,11016.0,Опишите одним-двумя словами что было самым ценным для вас за этот день?,знания по клиентоцентричности,1.0,ru,ru
238,238,11016.0,Опишите одним-двумя словами что было самым ценным для вас за этот день?,понятие клиентоориетированност,1.0,ru,ru
239,239,11016.0,Опишите одним-двумя словами что было самым ценным для вас за этот день?,работа в группах,1.0,ru,ru
240,240,11016.0,Опишите одним-двумя словами что было самым ценным для вас за этот день?,1.коммуникация между сотру,1.0,ru,ru
241,241,11016.0,Опишите одним-двумя словами что было самым ценным для вас за этот день?,2мозговой штурм по решению про,1.0,ru,ru
242,242,11016.0,Опишите одним-двумя словами что было самым ценным для вас за этот день?,идея может быть реализована,1.0,ru,ru
243,243,11016.0,Опишите одним-двумя словами что было самым ценным для вас за этот день?,работа в группах,1.0,ru,ru
244,244,11016.0,Опишите одним-двумя словами что было самым ценным для вас за этот день?,опыт взаимодействия внутри аэм,1.0,ru,ru
245,245,11016.0,Опишите одним-двумя словами что было самым ценным для вас за этот день?,обмен информацией,1.0,ru,ru
246,246,11016.0,Опишите одним-двумя словами что было самым ценным для вас за этот день?,понимание клиентоцентричностт.,1.0,ru,ru
247,247,11016.0,Опишите одним-двумя словами что было самым ценным для вас за этот день?,новый опыт,1.0,ru,ru
248,248,11016.0,Опишите одним-двумя словами что было самым ценным для вас за этот день?,мнения участников,1.0,ru,ru
249,249,11016.0,Опишите одним-двумя словами что было самым ценным для вас за этот день?,общение с коллегами из оку,1.0,ru,ru
250,250,11016.0,Опишите одним-двумя словами что было самым ценным для вас за этот день?,командная рабгта,1.0,ru,ru
251,251,11016.0,Опишите одним-двумя словами что было самым ценным для вас за этот день?,понимание общедивизиональных п,1.0,ru,ru
252,252,11016.0,Опишите одним-двумя словами что было самым ценным для вас за этот день?,проектная деятельность,1.0,ru,ru
253,253,11016.0,Опишите одним-двумя словами что было самым ценным для вас за этот день?,понимание разницы клиентоориен,1.0,ru,ru
254,254,11016.0,Опишите одним-двумя словами что было самым ценным для вас за этот день?,понимание клиентоцентричности,1.0,ru,ru
255,255,11016.0,Опишите одним-двумя словами что было самым ценным для вас за этот день?,понимание клиентоцентничность,1.0,ru,ru
256,256,11016.0,Опишите одним-двумя словами что было самым ценным для вас за этот день?,к персоналу это понятие тоже о,1.0,ru,ru
257,257,11016.0,Опишите одним-двумя словами что было самым ценным для вас за этот день?,относиться,1.0,ru,ru
258,258,11016.0,Опишите одним-двумя словами что было самым ценным для вас за этот день?,новый опыт,1.0,ru,ru
259,259,11016.0,Опишите одним-двумя словами что было самым ценным для вас за этот день?,встреча с коллегами и партнера,1.0,ru,ru
260,260,11016.0,Опишите одним-двумя словами что было самым ценным для вас за этот день?,перестройка мышления под кл-ть,1.0,ru,ru
261,261,11016.0,Опишите одним-двумя словами что было самым ценным для вас за этот день?,проблематика разных оку совпад,1.0,ru,ru
262,262,11016.0,Опишите одним-двумя словами что было самым ценным для вас за этот день?,клиентоцентричность,1.0,ru,ru
263,263,11016.0,Опишите одним-двумя словами что было самым ценным для вас за этот день?,мнения и обратная связь,1.0,ru,ru
264,264,11016.0,Опишите одним-двумя словами что было самым ценным для вас за этот день?,выявление общих проблематик,1.0,ru,ru
265,265,11016.0,Опишите одним-двумя словами что было самым ценным для вас за этот день?,решения,1.0,ru,ru
266,266,11016.0,Опишите одним-двумя словами что было самым ценным для вас за этот день?,порешать нужные задачи,1.0,ru,ru
267,267,11016.0,Опишите одним-двумя словами что было самым ценным для вас за этот день?,поработать в новой команде,1.0,ru,ru
268,268,11016.0,Опишите одним-двумя словами что было самым ценным для вас за этот день?,понял клиентоцентричность,1.0,ru,ru
269,269,11016.0,Опишите одним-двумя словами что было самым ценным для вас за этот день?,итоговые решения,1.0,ru,ru
270,270,11016.0,Опишите одним-двумя словами что было самым ценным для вас за этот день?,обмен опытом,1.0,ru,ru
271,271,11016.0,Опишите одним-двумя словами что было самым ценным для вас за этот день?,мозговой штурм,1.0,ru,ru
272,272,11016.0,Опишите одним-двумя словами что было самым ценным для вас за этот день?,проработка проблем,1.0,ru,ru
273,273,11016.0,Опишите одним-двумя словами что было самым ценным для вас за этот день?,результаты сессии руководителе,1.0,ru,ru
274,274,11016.0,Опишите одним-двумя словами что было самым ценным для вас за этот день?,понимание задачи,1.0,ru,ru
275,275,11016.0,Опишите одним-двумя словами что было самым ценным для вас за этот день?,"общение с коллегами,новая инфа",1.0,ru,ru
276,276,11016.0,Опишите одним-двумя словами что было самым ценным для вас за этот день?,взгляд со стороны клиента,1.0,ru,ru
277,277,11016.0,Опишите одним-двумя словами что было самым ценным для вас за этот день?,взаимодействие с коллегами,1.0,ru,ru
278,278,11016.0,Опишите одним-двумя словами что было самым ценным для вас за этот день?,выявление идей для развития,1.0,ru,ru
279,279,11016.0,Опишите одним-двумя словами что было самым ценным для вас за этот день?,новая информация,1.0,ru,ru
280,280,11016.0,Опишите одним-двумя словами что было самым ценным для вас за этот день?,плодотворная работа в команде,1.0,ru,ru
281,281,11016.0,Опишите одним-двумя словами что было самым ценным для вас за этот день?,узнать больше информации,1.0,ru,ru
282,282,11016.0,Опишите одним-двумя словами что было самым ценным для вас за этот день?,узнать о клиентоцентричности,1.0,ru,ru
283,283,11016.0,Опишите одним-двумя словами что было самым ценным для вас за этот день?,работа в команде,1.0,ru,ru
284,284,11016.0,Опишите одним-двумя словами что было самым ценным для вас за этот день?,определение клиентоцентричност,1.0,ru,ru
285,285,11016.0,Опишите одним-двумя словами что было самым ценным для вас за этот день?,встать на место клиента,1.0,ru,ru
286,286,11016.0,Опишите одним-двумя словами что было самым ценным для вас за этот день?,раскрыли иначе цель,1.0,ru,ru
